'worldPose: x: -1.816780,y: 289.857623,theta: -1.669188, gridPosition: x: 0, y: 0'
'worldPose: x: -1.817142,y: 289.835216,theta: -1.669379, gridPosition: x: 0, y: 0'
'worldPose: x: -1.817142,y: 289.835216,theta: -1.669379, gridPosition: x: 0, y: 0'
'worldPose: x: -1.817142,y: 289.835216,theta: -1.669379, gridPosition: x: 0, y: 0'
'worldPose: x: -1.818576,y: 289.813832,theta: -1.669490, gridPosition: x: 0, y: 0'
'worldPose: x: -1.818576,y: 289.813832,theta: -1.669490, gridPosition: x: 0, y: 0'
'worldPose: x: -1.819604,y: 289.784495,theta: -1.668991, gridPosition: x: 0, y: 0'
'worldPose: x: -1.819604,y: 289.784495,theta: -1.668991, gridPosition: x: 0, y: 0'
'worldPose: x: -1.819604,y: 289.784495,theta: -1.668991, gridPosition: x: 0, y: 0'
'worldPose: x: -1.821158,y: 289.763280,theta: -1.668291, gridPosition: x: 0, y: 0'
'worldPose: x: -1.821158,y: 289.763280,theta: -1.668291, gridPosition: x: 0, y: 0'
'worldPose: x: -1.821459,y: 289.743173,theta: -1.668664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.821459,y: 289.743173,theta: -1.668664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.821459,y: 289.743173,theta: -1.668664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.823544,y: 289.719036,theta: -1.667986, gridPosition: x: 0, y: 0'
'worldPose: x: -1.823544,y: 289.719036,theta: -1.667986, gridPosition: x: 0, y: 0'
'worldPose: x: -1.824307,y: 289.698347,theta: -1.668010, gridPosition: x: 0, y: 0'
'worldPose: x: -1.824307,y: 289.698347,theta: -1.668010, gridPosition: x: 0, y: 0'
'worldPose: x: -1.824307,y: 289.698347,theta: -1.668010, gridPosition: x: 0, y: 0'
'worldPose: x: -1.825764,y: 289.675197,theta: -1.667349, gridPosition: x: 0, y: 0'
'worldPose: x: -1.825764,y: 289.675197,theta: -1.667349, gridPosition: x: 0, y: 0'
'worldPose: x: -1.826606,y: 289.655584,theta: -1.668326, gridPosition: x: 0, y: 0'
'worldPose: x: -1.826606,y: 289.655584,theta: -1.668326, gridPosition: x: 0, y: 0'
'worldPose: x: -1.826606,y: 289.655584,theta: -1.668326, gridPosition: x: 0, y: 0'
'worldPose: x: -1.828393,y: 289.630871,theta: -1.667809, gridPosition: x: 0, y: 0'
'worldPose: x: -1.828393,y: 289.630871,theta: -1.667809, gridPosition: x: 0, y: 0'
