'worldPose: x: 14.508514,y: 294.217823,theta: -1.762086, gridPosition: x: 0, y: 0'
'worldPose: x: 14.508514,y: 294.217823,theta: -1.762086, gridPosition: x: 0, y: 0'
'worldPose: x: 14.502325,y: 294.194693,theta: -1.760719, gridPosition: x: 0, y: 0'
'worldPose: x: 14.502325,y: 294.194693,theta: -1.760719, gridPosition: x: 0, y: 0'
'worldPose: x: 14.502325,y: 294.194693,theta: -1.760719, gridPosition: x: 0, y: 0'
'worldPose: x: 14.501294,y: 294.171568,theta: -1.760548, gridPosition: x: 0, y: 0'
'worldPose: x: 14.501294,y: 294.171568,theta: -1.760548, gridPosition: x: 0, y: 0'
'worldPose: x: 14.498273,y: 294.148000,theta: -1.760448, gridPosition: x: 0, y: 0'
'worldPose: x: 14.498273,y: 294.148000,theta: -1.760448, gridPosition: x: 0, y: 0'
'worldPose: x: 14.498273,y: 294.148000,theta: -1.760448, gridPosition: x: 0, y: 0'
'worldPose: x: 14.501758,y: 294.163295,theta: -1.759587, gridPosition: x: 0, y: 0'
'worldPose: x: 14.501758,y: 294.163295,theta: -1.759587, gridPosition: x: 0, y: 0'
'worldPose: x: 14.499646,y: 294.144801,theta: -1.758920, gridPosition: x: 0, y: 0'
'worldPose: x: 14.499646,y: 294.144801,theta: -1.758920, gridPosition: x: 0, y: 0'
'worldPose: x: 14.499646,y: 294.144801,theta: -1.758920, gridPosition: x: 0, y: 0'
'worldPose: x: 14.495452,y: 294.120739,theta: -1.757670, gridPosition: x: 0, y: 0'
'worldPose: x: 14.495452,y: 294.120739,theta: -1.757670, gridPosition: x: 0, y: 0'
'worldPose: x: 14.484186,y: 294.031638,theta: -1.757853, gridPosition: x: 0, y: 0'
'worldPose: x: 14.484186,y: 294.031638,theta: -1.757853, gridPosition: x: 0, y: 0'
'worldPose: x: 14.484186,y: 294.031638,theta: -1.757853, gridPosition: x: 0, y: 0'
'worldPose: x: 14.479448,y: 294.014240,theta: -1.757695, gridPosition: x: 0, y: 0'
'worldPose: x: 14.479448,y: 294.014240,theta: -1.757695, gridPosition: x: 0, y: 0'
'worldPose: x: 14.477714,y: 293.994053,theta: -1.757104, gridPosition: x: 0, y: 0'
'worldPose: x: 14.477714,y: 293.994053,theta: -1.757104, gridPosition: x: 0, y: 0'
