'worldPose: x: 0.361500,y: 0.476322,theta: -0.172669, gridPosition: x: 0, y: 0'
'worldPose: x: 0.365608,y: 0.475606,theta: -0.172476, gridPosition: x: 0, y: 0'
'worldPose: x: 0.371761,y: 0.474535,theta: -0.172096, gridPosition: x: 0, y: 0'
'worldPose: x: 0.376897,y: 0.473640,theta: -0.172819, gridPosition: x: 0, y: 0'
'worldPose: x: 0.382020,y: 0.472743,theta: -0.173611, gridPosition: x: 0, y: 0'
'worldPose: x: 0.386194,y: 0.472010,theta: -0.173973, gridPosition: x: 0, y: 0'
'worldPose: x: 0.391259,y: 0.471120,theta: -0.174162, gridPosition: x: 0, y: 0'
'worldPose: x: 0.397409,y: 0.470040,theta: -0.173454, gridPosition: x: 0, y: 0'
'worldPose: x: 0.403226,y: 0.469022,theta: -0.173346, gridPosition: x: 0, y: 0'
'worldPose: x: 0.409045,y: 0.468003,theta: -0.173303, gridPosition: x: 0, y: 0'
'worldPose: x: 0.415196,y: 0.466926,theta: -0.173573, gridPosition: x: 0, y: 0'
'worldPose: x: 0.420671,y: 0.465965,theta: -0.173754, gridPosition: x: 0, y: 0'
'worldPose: x: 0.429571,y: 0.464404,theta: -0.173426, gridPosition: x: 0, y: 0'
'worldPose: x: 0.438112,y: 0.462910,theta: -0.173101, gridPosition: x: 0, y: 0'
'worldPose: x: 0.447352,y: 0.461294,theta: -0.173186, gridPosition: x: 0, y: 0'
'worldPose: x: 0.455567,y: 0.459857,theta: -0.173168, gridPosition: x: 0, y: 0'
'worldPose: x: 0.468206,y: 0.457648,theta: -0.172890, gridPosition: x: 0, y: 0'
'worldPose: x: 0.480206,y: 0.455551,theta: -0.173197, gridPosition: x: 0, y: 0'
'worldPose: x: 0.492136,y: 0.453455,theta: -0.174562, gridPosition: x: 0, y: 0'
'worldPose: x: 0.504125,y: 0.451340,theta: -0.174513, gridPosition: x: 0, y: 0'
'worldPose: x: 0.516073,y: 0.449238,theta: -0.174003, gridPosition: x: 0, y: 0'
'worldPose: x: 0.528051,y: 0.447131,theta: -0.174114, gridPosition: x: 0, y: 0'
'worldPose: x: 0.540019,y: 0.445027,theta: -0.173942, gridPosition: x: 0, y: 0'
'worldPose: x: 0.548903,y: 0.443471,theta: -0.172944, gridPosition: x: 0, y: 0'
'worldPose: x: 0.562602,y: 0.441092,theta: -0.171424, gridPosition: x: 0, y: 0'
'worldPose: x: 0.574567,y: 0.439020,theta: -0.171579, gridPosition: x: 0, y: 0'
'worldPose: x: 0.586534,y: 0.436942,theta: -0.172171, gridPosition: x: 0, y: 0'
'worldPose: x: 0.595110,y: 0.435452,theta: -0.171885, gridPosition: x: 0, y: 0'
'worldPose: x: 0.609468,y: 0.432967,theta: -0.171062, gridPosition: x: 0, y: 0'
'worldPose: x: 0.621450,y: 0.430894,theta: -0.171543, gridPosition: x: 0, y: 0'
'worldPose: x: 0.632053,y: 0.429054,theta: -0.171731, gridPosition: x: 0, y: 0'
'worldPose: x: 0.642358,y: 0.427268,theta: -0.171415, gridPosition: x: 0, y: 0'
'worldPose: x: 0.652595,y: 0.425500,theta: -0.170800, gridPosition: x: 0, y: 0'
'worldPose: x: 0.660792,y: 0.424086,theta: -0.170890, gridPosition: x: 0, y: 0'
'worldPose: x: 0.673092,y: 0.421956,theta: -0.172429, gridPosition: x: 0, y: 0'
'worldPose: x: 0.681318,y: 0.420525,theta: -0.171964, gridPosition: x: 0, y: 0'
'worldPose: x: 0.693619,y: 0.418393,theta: -0.171575, gridPosition: x: 0, y: 0'
'worldPose: x: 0.703896,y: 0.416611,theta: -0.171836, gridPosition: x: 0, y: 0'
'worldPose: x: 0.714160,y: 0.414829,theta: -0.171855, gridPosition: x: 0, y: 0'
'worldPose: x: 0.724428,y: 0.413050,theta: -0.171289, gridPosition: x: 0, y: 0'
'worldPose: x: 0.734681,y: 0.411288,theta: -0.168921, gridPosition: x: 0, y: 0'
'worldPose: x: 0.744957,y: 0.409537,theta: -0.168654, gridPosition: x: 0, y: 0'
'worldPose: x: 0.755219,y: 0.407784,theta: -0.169579, gridPosition: x: 0, y: 0'
'worldPose: x: 0.761385,y: 0.406729,theta: -0.169192, gridPosition: x: 0, y: 0'
'worldPose: x: 0.775782,y: 0.404275,theta: -0.169085, gridPosition: x: 0, y: 0'
'worldPose: x: 0.786031,y: 0.402526,theta: -0.168915, gridPosition: x: 0, y: 0'
'worldPose: x: 0.796295,y: 0.400777,theta: -0.168678, gridPosition: x: 0, y: 0'
'worldPose: x: 0.806570,y: 0.399029,theta: -0.168510, gridPosition: x: 0, y: 0'
'worldPose: x: 0.816840,y: 0.397286,theta: -0.167338, gridPosition: x: 0, y: 0'
'worldPose: x: 0.838086,y: 0.400780,theta: -0.167460, gridPosition: x: 0, y: 0'
'worldPose: x: 0.864056,y: 0.403816,theta: -0.170568, gridPosition: x: 0, y: 0'
'worldPose: x: 0.874309,y: 0.402051,theta: -0.170559, gridPosition: x: 0, y: 0'
'worldPose: x: 0.884568,y: 0.400281,theta: -0.171019, gridPosition: x: 0, y: 0'
'worldPose: x: 0.894846,y: 0.398505,theta: -0.171185, gridPosition: x: 0, y: 0'
'worldPose: x: 0.905129,y: 0.396730,theta: -0.170625, gridPosition: x: 0, y: 0'
'worldPose: x: 0.915364,y: 0.394970,theta: -0.170182, gridPosition: x: 0, y: 0'
'worldPose: x: 0.925638,y: 0.393204,theta: -0.170414, gridPosition: x: 0, y: 0'
'worldPose: x: 0.935900,y: 0.391436,theta: -0.170545, gridPosition: x: 0, y: 0'
'worldPose: x: 0.944169,y: 0.390010,theta: -0.171888, gridPosition: x: 0, y: 0'
'worldPose: x: 0.956431,y: 0.387885,theta: -0.171638, gridPosition: x: 0, y: 0'
'worldPose: x: 0.966692,y: 0.386105,theta: -0.171682, gridPosition: x: 0, y: 0'
'worldPose: x: 0.976955,y: 0.384322,theta: -0.172000, gridPosition: x: 0, y: 0'
'worldPose: x: 0.987232,y: 0.382548,theta: -0.169696, gridPosition: x: 0, y: 0'
'worldPose: x: 0.997493,y: 0.380799,theta: -0.168469, gridPosition: x: 0, y: 0'
'worldPose: x: 1.007759,y: 0.379061,theta: -0.166841, gridPosition: x: 0, y: 0'
'worldPose: x: 1.018034,y: 0.377327,theta: -0.167221, gridPosition: x: 0, y: 0'
'worldPose: x: 1.028298,y: 0.375594,theta: -0.167534, gridPosition: x: 0, y: 0'
'worldPose: x: 1.038566,y: 0.373864,theta: -0.166598, gridPosition: x: 0, y: 0'
'worldPose: x: 1.048846,y: 0.372143,theta: -0.164912, gridPosition: x: 0, y: 0'
'worldPose: x: 1.057071,y: 0.370768,theta: -0.166129, gridPosition: x: 0, y: 0'
'worldPose: x: 1.069386,y: 0.368683,theta: -0.171728, gridPosition: x: 0, y: 0'
'worldPose: x: 1.077609,y: 0.367253,theta: -0.172543, gridPosition: x: 0, y: 0'
'worldPose: x: 1.089910,y: 0.365087,theta: -0.176187, gridPosition: x: 0, y: 0'
'worldPose: x: 1.098166,y: 0.363608,theta: -0.177887, gridPosition: x: 0, y: 0'
'worldPose: x: 1.110421,y: 0.361403,theta: -0.177018, gridPosition: x: 0, y: 0'
'worldPose: x: 1.118620,y: 0.359939,theta: -0.176558, gridPosition: x: 0, y: 0'
'worldPose: x: 1.145398,y: 0.360358,theta: -0.171065, gridPosition: x: 0, y: 0'
'worldPose: x: 1.155665,y: 0.358580,theta: -0.171848, gridPosition: x: 0, y: 0'
'worldPose: x: 1.167972,y: 0.356415,theta: -0.177649, gridPosition: x: 0, y: 0'
'worldPose: x: 1.178230,y: 0.354567,theta: -0.178656, gridPosition: x: 0, y: 0'
'worldPose: x: 1.188475,y: 0.352713,theta: -0.178899, gridPosition: x: 0, y: 0'
'worldPose: x: 1.198721,y: 0.350844,theta: -0.181420, gridPosition: x: 0, y: 0'
'worldPose: x: 1.208964,y: 0.348956,theta: -0.182410, gridPosition: x: 0, y: 0'
'worldPose: x: 1.219209,y: 0.347064,theta: -0.182471, gridPosition: x: 0, y: 0'
'worldPose: x: 1.229459,y: 0.345165,theta: -0.184672, gridPosition: x: 0, y: 0'
'worldPose: x: 1.239695,y: 0.343251,theta: -0.185062, gridPosition: x: 0, y: 0'
'worldPose: x: 1.249932,y: 0.341339,theta: -0.183820, gridPosition: x: 0, y: 0'
'worldPose: x: 1.260178,y: 0.339431,theta: -0.184309, gridPosition: x: 0, y: 0'
'worldPose: x: 1.270414,y: 0.337515,theta: -0.185739, gridPosition: x: 0, y: 0'
'worldPose: x: 1.278601,y: 0.335968,theta: -0.187448, gridPosition: x: 0, y: 0'
'worldPose: x: 1.290872,y: 0.333607,theta: -0.193280, gridPosition: x: 0, y: 0'
'worldPose: x: 1.299070,y: 0.332000,theta: -0.193654, gridPosition: x: 0, y: 0'
'worldPose: x: 1.311345,y: 0.329592,theta: -0.193848, gridPosition: x: 0, y: 0'
'worldPose: x: 1.319494,y: 0.327990,theta: -0.194172, gridPosition: x: 0, y: 0'
'worldPose: x: 1.331753,y: 0.325573,theta: -0.195055, gridPosition: x: 0, y: 0'
'worldPose: x: 1.341981,y: 0.323548,theta: -0.195749, gridPosition: x: 0, y: 0'
