'worldPose: x: -1.321380,y: 283.712310,theta: -1.658574, gridPosition: x: 0, y: 0'
'worldPose: x: -1.322055,y: 283.701524,theta: -1.658128, gridPosition: x: 0, y: 0'
'worldPose: x: -1.322055,y: 283.701524,theta: -1.658128, gridPosition: x: 0, y: 0'
'worldPose: x: -1.322317,y: 283.690202,theta: -1.658487, gridPosition: x: 0, y: 0'
'worldPose: x: -1.322317,y: 283.690202,theta: -1.658487, gridPosition: x: 0, y: 0'
'worldPose: x: -1.322317,y: 283.690202,theta: -1.658487, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323188,y: 283.679529,theta: -1.658996, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323188,y: 283.679529,theta: -1.658996, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323063,y: 283.670210,theta: -1.658834, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323063,y: 283.670210,theta: -1.658834, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323063,y: 283.670210,theta: -1.658834, gridPosition: x: 0, y: 0'
'worldPose: x: -1.324081,y: 283.658428,theta: -1.657854, gridPosition: x: 0, y: 0'
'worldPose: x: -1.324081,y: 283.658428,theta: -1.657854, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325827,y: 283.643419,theta: -1.658372, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325827,y: 283.643419,theta: -1.658372, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325827,y: 283.643419,theta: -1.658372, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326495,y: 283.633459,theta: -1.659371, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326495,y: 283.633459,theta: -1.659371, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325304,y: 283.625221,theta: -1.658526, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325304,y: 283.625221,theta: -1.658526, gridPosition: x: 0, y: 0'
'worldPose: x: -1.325304,y: 283.625221,theta: -1.658526, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326950,y: 283.614106,theta: -1.657597, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326950,y: 283.614106,theta: -1.657597, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328193,y: 283.602546,theta: -1.658543, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328193,y: 283.602546,theta: -1.658543, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328193,y: 283.602546,theta: -1.658543, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328101,y: 283.593211,theta: -1.658820, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328101,y: 283.593211,theta: -1.658820, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328730,y: 283.586356,theta: -1.656556, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328730,y: 283.586356,theta: -1.656556, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328730,y: 283.586356,theta: -1.656556, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330519,y: 283.573852,theta: -1.656154, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330519,y: 283.573852,theta: -1.656154, gridPosition: x: 0, y: 0'
'worldPose: x: -1.331612,y: 283.562241,theta: -1.657036, gridPosition: x: 0, y: 0'
'worldPose: x: -1.331612,y: 283.562241,theta: -1.657036, gridPosition: x: 0, y: 0'
'worldPose: x: -1.331612,y: 283.562241,theta: -1.657036, gridPosition: x: 0, y: 0'
'worldPose: x: -1.331234,y: 283.552433,theta: -1.657074, gridPosition: x: 0, y: 0'
'worldPose: x: -1.331234,y: 283.552433,theta: -1.657074, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330804,y: 283.542008,theta: -1.656105, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330804,y: 283.542008,theta: -1.656105, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330804,y: 283.542008,theta: -1.656105, gridPosition: x: 0, y: 0'
'worldPose: x: -1.332761,y: 283.531119,theta: -1.655955, gridPosition: x: 0, y: 0'
'worldPose: x: -1.332761,y: 283.531119,theta: -1.655955, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335562,y: 283.515829,theta: -1.657133, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335562,y: 283.515829,theta: -1.657133, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335562,y: 283.515829,theta: -1.657133, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335160,y: 283.502035,theta: -1.657633, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335160,y: 283.502035,theta: -1.657633, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336066,y: 283.483362,theta: -1.656984, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336066,y: 283.483362,theta: -1.656984, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336066,y: 283.483362,theta: -1.656984, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336288,y: 283.459172,theta: -1.656730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336288,y: 283.459172,theta: -1.656730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.337306,y: 283.436251,theta: -1.656677, gridPosition: x: 0, y: 0'
'worldPose: x: -1.337306,y: 283.436251,theta: -1.656677, gridPosition: x: 0, y: 0'
'worldPose: x: -1.337306,y: 283.436251,theta: -1.656677, gridPosition: x: 0, y: 0'
'worldPose: x: -1.345208,y: 283.390689,theta: -1.657865, gridPosition: x: 0, y: 0'
'worldPose: x: -1.345208,y: 283.390689,theta: -1.657865, gridPosition: x: 0, y: 0'
'worldPose: x: -1.346402,y: 283.365677,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.346402,y: 283.365677,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.346402,y: 283.365677,theta: -1.657827, gridPosition: x: 0, y: 0'
'worldPose: x: -1.346495,y: 283.342099,theta: -1.657560, gridPosition: x: 0, y: 0'
'worldPose: x: -1.346495,y: 283.342099,theta: -1.657560, gridPosition: x: 0, y: 0'
'worldPose: x: -1.348145,y: 283.327214,theta: -1.654944, gridPosition: x: 0, y: 0'
'worldPose: x: -1.348145,y: 283.327214,theta: -1.654944, gridPosition: x: 0, y: 0'
'worldPose: x: -1.348145,y: 283.327214,theta: -1.654944, gridPosition: x: 0, y: 0'
'worldPose: x: -1.348845,y: 283.304031,theta: -1.654813, gridPosition: x: 0, y: 0'
'worldPose: x: -1.348845,y: 283.304031,theta: -1.654813, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350153,y: 283.281246,theta: -1.654764, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350153,y: 283.281246,theta: -1.654764, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350153,y: 283.281246,theta: -1.654764, gridPosition: x: 0, y: 0'
'worldPose: x: -1.351159,y: 283.258382,theta: -1.654994, gridPosition: x: 0, y: 0'
'worldPose: x: -1.351159,y: 283.258382,theta: -1.654994, gridPosition: x: 0, y: 0'
'worldPose: x: -1.352816,y: 283.234099,theta: -1.654664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.352816,y: 283.234099,theta: -1.654664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.352816,y: 283.234099,theta: -1.654664, gridPosition: x: 0, y: 0'
'worldPose: x: -1.353050,y: 283.212478,theta: -1.654278, gridPosition: x: 0, y: 0'
'worldPose: x: -1.353050,y: 283.212478,theta: -1.654278, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355282,y: 283.192866,theta: -1.654730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355282,y: 283.192866,theta: -1.654730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355282,y: 283.192866,theta: -1.654730, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355295,y: 283.174082,theta: -1.654820, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355295,y: 283.174082,theta: -1.654820, gridPosition: x: 0, y: 0'
'worldPose: x: -1.356017,y: 283.152832,theta: -1.654756, gridPosition: x: 0, y: 0'
'worldPose: x: -1.356017,y: 283.152832,theta: -1.654756, gridPosition: x: 0, y: 0'
'worldPose: x: -1.356017,y: 283.152832,theta: -1.654756, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357261,y: 283.134090,theta: -1.654825, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357261,y: 283.134090,theta: -1.654825, gridPosition: x: 0, y: 0'
'worldPose: x: -1.358104,y: 283.110723,theta: -1.655132, gridPosition: x: 0, y: 0'
'worldPose: x: -1.358104,y: 283.110723,theta: -1.655132, gridPosition: x: 0, y: 0'
'worldPose: x: -1.358104,y: 283.110723,theta: -1.655132, gridPosition: x: 0, y: 0'
