'worldPose: x: 0.210959,y: -0.012860,theta: 0.061453, gridPosition: x: 0, y: 0'
'worldPose: x: 0.223384,y: -0.012102,theta: 0.060885, gridPosition: x: 0, y: 0'
'worldPose: x: 0.233882,y: -0.011463,theta: 0.060723, gridPosition: x: 0, y: 0'
'worldPose: x: 0.245227,y: -0.010780,theta: 0.059879, gridPosition: x: 0, y: 0'
'worldPose: x: 0.257357,y: -0.010060,theta: 0.058876, gridPosition: x: 0, y: 0'
'worldPose: x: 0.269481,y: -0.009347,theta: 0.058819, gridPosition: x: 0, y: 0'
'worldPose: x: 0.281766,y: -0.008621,theta: 0.059122, gridPosition: x: 0, y: 0'
'worldPose: x: 0.293747,y: -0.007916,theta: 0.058342, gridPosition: x: 0, y: 0'
'worldPose: x: 0.305533,y: -0.007234,theta: 0.057569, gridPosition: x: 0, y: 0'
'worldPose: x: 0.315931,y: -0.006635,theta: 0.057540, gridPosition: x: 0, y: 0'
'worldPose: x: 0.326339,y: -0.006036,theta: 0.057430, gridPosition: x: 0, y: 0'
'worldPose: x: 0.336743,y: -0.005442,theta: 0.056710, gridPosition: x: 0, y: 0'
'worldPose: x: 0.347137,y: -0.004857,theta: 0.055901, gridPosition: x: 0, y: 0'
'worldPose: x: 0.357530,y: -0.004276,theta: 0.055997, gridPosition: x: 0, y: 0'
'worldPose: x: 0.368038,y: -0.003686,theta: 0.056053, gridPosition: x: 0, y: 0'
'worldPose: x: 0.380045,y: -0.003016,theta: 0.055590, gridPosition: x: 0, y: 0'
'worldPose: x: 0.392453,y: -0.002330,theta: 0.055080, gridPosition: x: 0, y: 0'
'worldPose: x: 0.404320,y: -0.001675,theta: 0.055341, gridPosition: x: 0, y: 0'
'worldPose: x: 0.417834,y: -0.000931,theta: 0.054688, gridPosition: x: 0, y: 0'
'worldPose: x: 0.431695,y: -0.000180,theta: 0.053858, gridPosition: x: 0, y: 0'
'worldPose: x: 0.445564,y: 0.000562,theta: 0.053308, gridPosition: x: 0, y: 0'
'worldPose: x: 0.460818,y: 0.001372,theta: 0.052937, gridPosition: x: 0, y: 0'
'worldPose: x: 0.474734,y: 0.002108,theta: 0.052792, gridPosition: x: 0, y: 0'
'worldPose: x: 0.492033,y: 0.003014,theta: 0.051942, gridPosition: x: 0, y: 0'
'worldPose: x: 0.508337,y: 0.003852,theta: 0.051022, gridPosition: x: 0, y: 0'
'worldPose: x: 0.524033,y: 0.004648,theta: 0.050364, gridPosition: x: 0, y: 0'
'worldPose: x: 0.539869,y: 0.005438,theta: 0.049477, gridPosition: x: 0, y: 0'
'worldPose: x: 0.555894,y: 0.006225,theta: 0.048806, gridPosition: x: 0, y: 0'
'worldPose: x: 0.602904,y: 0.027049,theta: 0.048171, gridPosition: x: 0, y: 0'
'worldPose: x: 0.618963,y: 0.027818,theta: 0.047754, gridPosition: x: 0, y: 0'
'worldPose: x: 0.634468,y: 0.028562,theta: 0.048118, gridPosition: x: 0, y: 0'
'worldPose: x: 0.650416,y: 0.029328,theta: 0.047795, gridPosition: x: 0, y: 0'
'worldPose: x: 0.666731,y: 0.030102,theta: 0.047151, gridPosition: x: 0, y: 0'
'worldPose: x: 0.682353,y: 0.030832,theta: 0.046453, gridPosition: x: 0, y: 0'
'worldPose: x: 0.697943,y: 0.031546,theta: 0.045396, gridPosition: x: 0, y: 0'
'worldPose: x: 0.713956,y: 0.032267,theta: 0.044856, gridPosition: x: 0, y: 0'
'worldPose: x: 0.729188,y: 0.032946,theta: 0.044261, gridPosition: x: 0, y: 0'
'worldPose: x: 0.745185,y: 0.033647,theta: 0.043619, gridPosition: x: 0, y: 0'
'worldPose: x: 0.760397,y: 0.034310,theta: 0.043509, gridPosition: x: 0, y: 0'
'worldPose: x: 0.776016,y: 0.034988,theta: 0.043269, gridPosition: x: 0, y: 0'
'worldPose: x: 0.791621,y: 0.035659,theta: 0.042806, gridPosition: x: 0, y: 0'
'worldPose: x: 0.807259,y: 0.036327,theta: 0.042603, gridPosition: x: 0, y: 0'
'worldPose: x: 0.822927,y: 0.036989,theta: 0.041972, gridPosition: x: 0, y: 0'
'worldPose: x: 0.838451,y: 0.037637,theta: 0.041656, gridPosition: x: 0, y: 0'
'worldPose: x: 0.854064,y: 0.038286,theta: 0.041382, gridPosition: x: 0, y: 0'
'worldPose: x: 0.869798,y: 0.038928,theta: 0.040266, gridPosition: x: 0, y: 0'
'worldPose: x: 0.882162,y: 0.039421,theta: 0.039814, gridPosition: x: 0, y: 0'
'worldPose: x: 0.900912,y: 0.040165,theta: 0.039484, gridPosition: x: 0, y: 0'
'worldPose: x: 0.916572,y: 0.040778,theta: 0.038958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.932457,y: 0.041393,theta: 0.038704, gridPosition: x: 0, y: 0'
'worldPose: x: 0.947750,y: 0.041984,theta: 0.038613, gridPosition: x: 0, y: 0'
'worldPose: x: 0.963338,y: 0.042587,theta: 0.038759, gridPosition: x: 0, y: 0'
'worldPose: x: 0.975847,y: 0.043070,theta: 0.038550, gridPosition: x: 0, y: 0'
'worldPose: x: 1.003702,y: 0.080017,theta: 0.037037, gridPosition: x: 0, y: 0'
'worldPose: x: 1.019322,y: 0.080584,theta: 0.035811, gridPosition: x: 0, y: 0'
'worldPose: x: 1.031841,y: 0.081026,theta: 0.035027, gridPosition: x: 0, y: 0'
'worldPose: x: 1.050552,y: 0.081675,theta: 0.034504, gridPosition: x: 0, y: 0'
'worldPose: x: 1.066166,y: 0.082212,theta: 0.034330, gridPosition: x: 0, y: 0'
'worldPose: x: 1.081773,y: 0.082746,theta: 0.034203, gridPosition: x: 0, y: 0'
'worldPose: x: 1.094259,y: 0.083175,theta: 0.034444, gridPosition: x: 0, y: 0'
'worldPose: x: 1.113011,y: 0.083821,theta: 0.034322, gridPosition: x: 0, y: 0'
'worldPose: x: 1.128633,y: 0.084348,theta: 0.033317, gridPosition: x: 0, y: 0'
'worldPose: x: 1.144242,y: 0.084860,theta: 0.032508, gridPosition: x: 0, y: 0'
'worldPose: x: 1.159893,y: 0.085362,theta: 0.031761, gridPosition: x: 0, y: 0'
'worldPose: x: 1.175614,y: 0.085853,theta: 0.031001, gridPosition: x: 0, y: 0'
'worldPose: x: 1.188033,y: 0.086236,theta: 0.030910, gridPosition: x: 0, y: 0'
'worldPose: x: 1.206731,y: 0.086810,theta: 0.030473, gridPosition: x: 0, y: 0'
'worldPose: x: 1.222330,y: 0.087283,theta: 0.030290, gridPosition: x: 0, y: 0'
'worldPose: x: 1.237999,y: 0.087756,theta: 0.030174, gridPosition: x: 0, y: 0'
'worldPose: x: 1.253566,y: 0.088216,theta: 0.029173, gridPosition: x: 0, y: 0'
'worldPose: x: 1.269215,y: 0.088668,theta: 0.028769, gridPosition: x: 0, y: 0'
'worldPose: x: 1.284812,y: 0.089114,theta: 0.028457, gridPosition: x: 0, y: 0'
'worldPose: x: 1.300715,y: 0.089554,theta: 0.027409, gridPosition: x: 0, y: 0'
'worldPose: x: 1.316403,y: 0.089980,theta: 0.027032, gridPosition: x: 0, y: 0'
'worldPose: x: 1.331655,y: 0.090386,theta: 0.026386, gridPosition: x: 0, y: 0'
'worldPose: x: 1.347281,y: 0.090791,theta: 0.025692, gridPosition: x: 0, y: 0'
'worldPose: x: 1.361076,y: 0.106082,theta: 0.024752, gridPosition: x: 0, y: 0'
'worldPose: x: 1.373058,y: 0.136478,theta: 0.022811, gridPosition: x: 0, y: 0'
'worldPose: x: 1.385572,y: 0.136759,theta: 0.022366, gridPosition: x: 0, y: 0'
'worldPose: x: 1.404305,y: 0.137174,theta: 0.021945, gridPosition: x: 0, y: 0'
'worldPose: x: 1.419922,y: 0.137511,theta: 0.021394, gridPosition: x: 0, y: 0'
'worldPose: x: 1.435544,y: 0.137843,theta: 0.021200, gridPosition: x: 0, y: 0'
'worldPose: x: 1.451175,y: 0.138172,theta: 0.020825, gridPosition: x: 0, y: 0'
'worldPose: x: 1.466779,y: 0.138490,theta: 0.020164, gridPosition: x: 0, y: 0'
'worldPose: x: 1.482407,y: 0.138801,theta: 0.019708, gridPosition: x: 0, y: 0'
'worldPose: x: 1.498272,y: 0.139107,theta: 0.018958, gridPosition: x: 0, y: 0'
'worldPose: x: 1.513646,y: 0.139390,theta: 0.018038, gridPosition: x: 0, y: 0'
'worldPose: x: 1.529273,y: 0.139665,theta: 0.017416, gridPosition: x: 0, y: 0'
'worldPose: x: 1.544897,y: 0.139934,theta: 0.017190, gridPosition: x: 0, y: 0'
