'worldPose: x: -4.510908,y: -0.221734,theta: 0.083912, gridPosition: x: 0, y: 0'
'worldPose: x: -4.510908,y: -0.221734,theta: 0.083912, gridPosition: x: 0, y: 0'
'worldPose: x: -4.486024,y: -0.248782,theta: 0.084993, gridPosition: x: 0, y: 0'
'worldPose: x: -4.486024,y: -0.248782,theta: 0.084993, gridPosition: x: 0, y: 0'
'worldPose: x: -4.468336,y: -0.225012,theta: 0.085901, gridPosition: x: 0, y: 0'
'worldPose: x: -4.468336,y: -0.225012,theta: 0.085901, gridPosition: x: 0, y: 0'
'worldPose: x: -4.448606,y: -0.250592,theta: 0.086422, gridPosition: x: 0, y: 0'
'worldPose: x: -4.448606,y: -0.250592,theta: 0.086422, gridPosition: x: 0, y: 0'
'worldPose: x: -4.435151,y: -0.226316,theta: 0.086350, gridPosition: x: 0, y: 0'
'worldPose: x: -4.435151,y: -0.226316,theta: 0.086350, gridPosition: x: 0, y: 0'
'worldPose: x: -4.391394,y: -0.235706,theta: 0.088016, gridPosition: x: 0, y: 0'
'worldPose: x: -4.391394,y: -0.235706,theta: 0.088016, gridPosition: x: 0, y: 0'
'worldPose: x: -4.404799,y: -0.227474,theta: 0.086585, gridPosition: x: 0, y: 0'
'worldPose: x: -4.404799,y: -0.227474,theta: 0.086585, gridPosition: x: 0, y: 0'
'worldPose: x: -4.374800,y: -0.236224,theta: 0.089264, gridPosition: x: 0, y: 0'
'worldPose: x: -4.374800,y: -0.236224,theta: 0.089264, gridPosition: x: 0, y: 0'
'worldPose: x: -4.386879,y: -0.235442,theta: 0.086617, gridPosition: x: 0, y: 0'
'worldPose: x: -4.386879,y: -0.235442,theta: 0.086617, gridPosition: x: 0, y: 0'
'worldPose: x: -4.370326,y: -0.231888,theta: 0.086840, gridPosition: x: 0, y: 0'
'worldPose: x: -4.370326,y: -0.231888,theta: 0.086840, gridPosition: x: 0, y: 0'
'worldPose: x: -4.372160,y: -0.243533,theta: 0.087215, gridPosition: x: 0, y: 0'
'worldPose: x: -4.372160,y: -0.243533,theta: 0.087215, gridPosition: x: 0, y: 0'
'worldPose: x: -4.334915,y: -0.225814,theta: 0.084028, gridPosition: x: 0, y: 0'
'worldPose: x: -4.334915,y: -0.225814,theta: 0.084028, gridPosition: x: 0, y: 0'
'worldPose: x: -4.332859,y: -0.226554,theta: 0.085192, gridPosition: x: 0, y: 0'
'worldPose: x: -4.332859,y: -0.226554,theta: 0.085192, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
'worldPose: x: -4.290747,y: -0.221429,theta: 0.085075, gridPosition: x: 0, y: 0'
