'worldPose: x: 12.667922,y: -1.222760,theta: -0.028523, gridPosition: x: 0, y: 0'
'worldPose: x: 12.680065,y: -1.223112,theta: -0.029210, gridPosition: x: 0, y: 0'
'worldPose: x: 12.692215,y: -1.223468,theta: -0.029224, gridPosition: x: 0, y: 0'
'worldPose: x: 12.704368,y: -1.223822,theta: -0.029118, gridPosition: x: 0, y: 0'
'worldPose: x: 12.716504,y: -1.224178,theta: -0.029580, gridPosition: x: 0, y: 0'
'worldPose: x: 12.728653,y: -1.224541,theta: -0.030045, gridPosition: x: 0, y: 0'
'worldPose: x: 12.740825,y: -1.224908,theta: -0.030186, gridPosition: x: 0, y: 0'
'worldPose: x: 12.752250,y: -1.225257,theta: -0.030883, gridPosition: x: 0, y: 0'
'worldPose: x: 12.763011,y: -1.225597,theta: -0.032146, gridPosition: x: 0, y: 0'
'worldPose: x: 12.775162,y: -1.225996,theta: -0.033067, gridPosition: x: 0, y: 0'
'worldPose: x: 12.787300,y: -1.226399,theta: -0.033107, gridPosition: x: 0, y: 0'
'worldPose: x: 12.799450,y: -1.226799,theta: -0.032826, gridPosition: x: 0, y: 0'
'worldPose: x: 12.809165,y: -1.227118,theta: -0.032793, gridPosition: x: 0, y: 0'
'worldPose: x: 12.823736,y: -1.227597,theta: -0.033028, gridPosition: x: 0, y: 0'
'worldPose: x: 12.837642,y: -1.228060,theta: -0.033512, gridPosition: x: 0, y: 0'
'worldPose: x: 12.851501,y: -1.228531,theta: -0.034241, gridPosition: x: 0, y: 0'
'worldPose: x: 12.865534,y: -1.219057,theta: -0.033146, gridPosition: x: 0, y: 0'
'worldPose: x: 12.881102,y: -1.219581,theta: -0.034083, gridPosition: x: 0, y: 0'
'worldPose: x: 12.897410,y: -1.220145,theta: -0.034746, gridPosition: x: 0, y: 0'
'worldPose: x: 12.913390,y: -1.220705,theta: -0.035275, gridPosition: x: 0, y: 0'
'worldPose: x: 12.930383,y: -1.221311,theta: -0.035809, gridPosition: x: 0, y: 0'
'worldPose: x: 12.942986,y: -1.221763,theta: -0.035959, gridPosition: x: 0, y: 0'
'worldPose: x: 12.962646,y: -1.222474,theta: -0.036360, gridPosition: x: 0, y: 0'
'worldPose: x: 12.979470,y: -1.223092,theta: -0.036954, gridPosition: x: 0, y: 0'
'worldPose: x: 12.995079,y: -1.223676,theta: -0.037734, gridPosition: x: 0, y: 0'
'worldPose: x: 13.011384,y: -1.224300,theta: -0.038585, gridPosition: x: 0, y: 0'
'worldPose: x: 13.027690,y: -1.224940,theta: -0.039642, gridPosition: x: 0, y: 0'
'worldPose: x: 13.043664,y: -1.225583,theta: -0.040635, gridPosition: x: 0, y: 0'
'worldPose: x: 13.059259,y: -1.226220,theta: -0.040790, gridPosition: x: 0, y: 0'
'worldPose: x: 13.074938,y: -1.226858,theta: -0.040609, gridPosition: x: 0, y: 0'
'worldPose: x: 13.090510,y: -1.227492,theta: -0.040856, gridPosition: x: 0, y: 0'
'worldPose: x: 13.106087,y: -1.228130,theta: -0.040929, gridPosition: x: 0, y: 0'
'worldPose: x: 13.121706,y: -1.228774,theta: -0.041567, gridPosition: x: 0, y: 0'
'worldPose: x: 13.137325,y: -1.229441,theta: -0.043605, gridPosition: x: 0, y: 0'
'worldPose: x: 13.153814,y: -1.230191,theta: -0.046724, gridPosition: x: 0, y: 0'
'worldPose: x: 13.168545,y: -1.230913,theta: -0.050282, gridPosition: x: 0, y: 0'
'worldPose: x: 13.184142,y: -1.231727,theta: -0.053369, gridPosition: x: 0, y: 0'
'worldPose: x: 13.199738,y: -1.232585,theta: -0.055824, gridPosition: x: 0, y: 0'
'worldPose: x: 13.215340,y: -1.233477,theta: -0.057768, gridPosition: x: 0, y: 0'
'worldPose: x: 13.230942,y: -1.234391,theta: -0.058863, gridPosition: x: 0, y: 0'
'worldPose: x: 13.243410,y: -1.235129,theta: -0.059223, gridPosition: x: 0, y: 0'
'worldPose: x: 13.259100,y: -1.236071,theta: -0.060496, gridPosition: x: 0, y: 0'
'worldPose: x: 13.277750,y: -1.237230,theta: -0.062989, gridPosition: x: 0, y: 0'
'worldPose: x: 13.293857,y: -1.238268,theta: -0.065315, gridPosition: x: 0, y: 0'
'worldPose: x: 13.309253,y: -1.239295,theta: -0.067350, gridPosition: x: 0, y: 0'
'worldPose: x: 13.324836,y: -1.240365,theta: -0.069486, gridPosition: x: 0, y: 0'
'worldPose: x: 13.340424,y: -1.241471,theta: -0.071720, gridPosition: x: 0, y: 0'
'worldPose: x: 13.353570,y: -1.241497,theta: -0.073345, gridPosition: x: 0, y: 0'
'worldPose: x: 13.379341,y: -1.233429,theta: -0.076589, gridPosition: x: 0, y: 0'
'worldPose: x: 13.394934,y: -1.234639,theta: -0.077858, gridPosition: x: 0, y: 0'
'worldPose: x: 13.410502,y: -1.235875,theta: -0.079745, gridPosition: x: 0, y: 0'
'worldPose: x: 13.426170,y: -1.237139,theta: -0.080904, gridPosition: x: 0, y: 0'
'worldPose: x: 13.441700,y: -1.238415,theta: -0.082804, gridPosition: x: 0, y: 0'
'worldPose: x: 13.457211,y: -1.239722,theta: -0.085007, gridPosition: x: 0, y: 0'
'worldPose: x: 13.475738,y: -1.220775,theta: -0.087179, gridPosition: x: 0, y: 0'
'worldPose: x: 13.491316,y: -1.222159,theta: -0.089590, gridPosition: x: 0, y: 0'
'worldPose: x: 13.506863,y: -1.223577,theta: -0.091811, gridPosition: x: 0, y: 0'
'worldPose: x: 13.522424,y: -1.225029,theta: -0.093855, gridPosition: x: 0, y: 0'
'worldPose: x: 13.537981,y: -1.226509,theta: -0.095486, gridPosition: x: 0, y: 0'
'worldPose: x: 13.553537,y: -1.228010,theta: -0.096693, gridPosition: x: 0, y: 0'
'worldPose: x: 13.569067,y: -1.229530,theta: -0.098211, gridPosition: x: 0, y: 0'
'worldPose: x: 13.584637,y: -1.231082,theta: -0.100082, gridPosition: x: 0, y: 0'
'worldPose: x: 13.600161,y: -1.232658,theta: -0.102044, gridPosition: x: 0, y: 0'
'worldPose: x: 13.615737,y: -1.234278,theta: -0.104532, gridPosition: x: 0, y: 0'
'worldPose: x: 13.631273,y: -1.235930,theta: -0.106683, gridPosition: x: 0, y: 0'
'worldPose: x: 13.646809,y: -1.237612,theta: -0.108474, gridPosition: x: 0, y: 0'
