'worldPose: x: 13.222790,y: 20.196468,theta: 1.484379, gridPosition: x: 0, y: 0'
'worldPose: x: 13.224050,y: 20.211002,theta: 1.484249, gridPosition: x: 0, y: 0'
'worldPose: x: 13.225100,y: 20.223095,theta: 1.484066, gridPosition: x: 0, y: 0'
'worldPose: x: 13.226157,y: 20.235200,theta: 1.483486, gridPosition: x: 0, y: 0'
'worldPose: x: 13.227279,y: 20.247996,theta: 1.483344, gridPosition: x: 0, y: 0'
'worldPose: x: 13.211146,y: 20.294881,theta: 1.491308, gridPosition: x: 0, y: 0'
'worldPose: x: 13.212253,y: 20.308732,theta: 1.490816, gridPosition: x: 0, y: 0'
'worldPose: x: 13.213449,y: 20.323615,theta: 1.491253, gridPosition: x: 0, y: 0'
'worldPose: x: 13.214695,y: 20.339187,theta: 1.490715, gridPosition: x: 0, y: 0'
'worldPose: x: 13.215952,y: 20.354766,theta: 1.490053, gridPosition: x: 0, y: 0'
'worldPose: x: 13.217302,y: 20.371377,theta: 1.489553, gridPosition: x: 0, y: 0'
'worldPose: x: 13.218659,y: 20.387990,theta: 1.489104, gridPosition: x: 0, y: 0'
'worldPose: x: 13.220079,y: 20.405293,theta: 1.488787, gridPosition: x: 0, y: 0'
'worldPose: x: 13.221507,y: 20.422611,theta: 1.488291, gridPosition: x: 0, y: 0'
'worldPose: x: 13.222940,y: 20.439885,theta: 1.487958, gridPosition: x: 0, y: 0'
'worldPose: x: 13.224377,y: 20.457200,theta: 1.487932, gridPosition: x: 0, y: 0'
'worldPose: x: 13.225762,y: 20.473800,theta: 1.487243, gridPosition: x: 0, y: 0'
'worldPose: x: 13.227074,y: 20.489377,theta: 1.486469, gridPosition: x: 0, y: 0'
'worldPose: x: 13.228396,y: 20.504944,theta: 1.485695, gridPosition: x: 0, y: 0'
'worldPose: x: 13.229733,y: 20.520521,theta: 1.484815, gridPosition: x: 0, y: 0'
'worldPose: x: 13.231077,y: 20.536094,theta: 1.484811, gridPosition: x: 0, y: 0'
'worldPose: x: 13.232412,y: 20.551645,theta: 1.485184, gridPosition: x: 0, y: 0'
'worldPose: x: 13.233749,y: 20.567221,theta: 1.485136, gridPosition: x: 0, y: 0'
