'worldPose: x: 25.043268,y: 5.682833,theta: 0.054097, gridPosition: x: 0, y: 0'
'worldPose: x: 25.048468,y: 5.683115,theta: 0.054161, gridPosition: x: 0, y: 0'
'worldPose: x: 25.053674,y: 5.683397,theta: 0.054151, gridPosition: x: 0, y: 0'
'worldPose: x: 25.058868,y: 5.683679,theta: 0.054458, gridPosition: x: 0, y: 0'
'worldPose: x: 25.064072,y: 5.683964,theta: 0.054751, gridPosition: x: 0, y: 0'
'worldPose: x: 25.069267,y: 5.684249,theta: 0.054638, gridPosition: x: 0, y: 0'
'worldPose: x: 25.074473,y: 5.684532,theta: 0.054140, gridPosition: x: 0, y: 0'
'worldPose: x: 25.079673,y: 5.684813,theta: 0.053957, gridPosition: x: 0, y: 0'
'worldPose: x: 25.084869,y: 5.685094,theta: 0.054290, gridPosition: x: 0, y: 0'
'worldPose: x: 25.090075,y: 5.685379,theta: 0.054959, gridPosition: x: 0, y: 0'
'worldPose: x: 25.095278,y: 5.685668,theta: 0.055573, gridPosition: x: 0, y: 0'
'worldPose: x: 25.100479,y: 5.685958,theta: 0.055842, gridPosition: x: 0, y: 0'
'worldPose: x: 25.105676,y: 5.686247,theta: 0.055307, gridPosition: x: 0, y: 0'
'worldPose: x: 25.110865,y: 5.686531,theta: 0.054157, gridPosition: x: 0, y: 0'
'worldPose: x: 25.116076,y: 5.686811,theta: 0.053621, gridPosition: x: 0, y: 0'
'worldPose: x: 25.121272,y: 5.687092,theta: 0.054359, gridPosition: x: 0, y: 0'
'worldPose: x: 25.126481,y: 5.687379,theta: 0.055568, gridPosition: x: 0, y: 0'
'worldPose: x: 25.131676,y: 5.687671,theta: 0.056243, gridPosition: x: 0, y: 0'
'worldPose: x: 25.136900,y: 5.687965,theta: 0.056237, gridPosition: x: 0, y: 0'
'worldPose: x: 25.142076,y: 5.688255,theta: 0.055646, gridPosition: x: 0, y: 0'
'worldPose: x: 25.146585,y: 5.688504,theta: 0.054840, gridPosition: x: 0, y: 0'
'worldPose: x: 25.151780,y: 5.688787,theta: 0.054483, gridPosition: x: 0, y: 0'
'worldPose: x: 25.156293,y: 5.689034,theta: 0.054850, gridPosition: x: 0, y: 0'
'worldPose: x: 25.161482,y: 5.689321,theta: 0.055418, gridPosition: x: 0, y: 0'
'worldPose: x: 25.166689,y: 5.689611,theta: 0.055688, gridPosition: x: 0, y: 0'
'worldPose: x: 25.171887,y: 5.689901,theta: 0.055642, gridPosition: x: 0, y: 0'
'worldPose: x: 25.177095,y: 5.690190,theta: 0.055500, gridPosition: x: 0, y: 0'
'worldPose: x: 25.182979,y: 5.690517,theta: 0.055434, gridPosition: x: 0, y: 0'
'worldPose: x: 25.189575,y: 5.690883,theta: 0.055474, gridPosition: x: 0, y: 0'
'worldPose: x: 25.195817,y: 5.691230,theta: 0.055481, gridPosition: x: 0, y: 0'
'worldPose: x: 25.202764,y: 5.691615,theta: 0.055431, gridPosition: x: 0, y: 0'
'worldPose: x: 25.210059,y: 5.692021,theta: 0.055537, gridPosition: x: 0, y: 0'
'worldPose: x: 25.218699,y: 5.692503,theta: 0.055887, gridPosition: x: 0, y: 0'
'worldPose: x: 25.228046,y: 5.693027,theta: 0.056095, gridPosition: x: 0, y: 0'
'worldPose: x: 25.238462,y: 5.693611,theta: 0.055896, gridPosition: x: 0, y: 0'
'worldPose: x: 25.248845,y: 5.694190,theta: 0.055646, gridPosition: x: 0, y: 0'
'worldPose: x: 25.259600,y: 5.694791,theta: 0.055916, gridPosition: x: 0, y: 0'
'worldPose: x: 25.271717,y: 5.695472,theta: 0.056251, gridPosition: x: 0, y: 0'
'worldPose: x: 25.283875,y: 5.696156,theta: 0.056151, gridPosition: x: 0, y: 0'
'worldPose: x: 25.295986,y: 5.696836,theta: 0.056089, gridPosition: x: 0, y: 0'
'worldPose: x: 25.308141,y: 5.697519,theta: 0.056170, gridPosition: x: 0, y: 0'
'worldPose: x: 25.317840,y: 5.698065,theta: 0.056286, gridPosition: x: 0, y: 0'
'worldPose: x: 25.331704,y: 5.698849,theta: 0.056615, gridPosition: x: 0, y: 0'
'worldPose: x: 25.342096,y: 5.699439,theta: 0.056757, gridPosition: x: 0, y: 0'
'worldPose: x: 25.352509,y: 5.700030,theta: 0.056561, gridPosition: x: 0, y: 0'
'worldPose: x: 25.362903,y: 5.700618,theta: 0.056560, gridPosition: x: 0, y: 0'
'worldPose: x: 25.373302,y: 5.701209,theta: 0.056983, gridPosition: x: 0, y: 0'
'worldPose: x: 25.383709,y: 5.701804,theta: 0.057100, gridPosition: x: 0, y: 0'
'worldPose: x: 25.392197,y: 5.702287,theta: 0.056736, gridPosition: x: 0, y: 0'
'worldPose: x: 25.403000,y: 5.702900,theta: 0.056776, gridPosition: x: 0, y: 0'
'worldPose: x: 25.414946,y: 5.703584,theta: 0.057627, gridPosition: x: 0, y: 0'
'worldPose: x: 25.425300,y: 5.704183,theta: 0.057761, gridPosition: x: 0, y: 0'
'worldPose: x: 25.435948,y: 5.704795,theta: 0.057064, gridPosition: x: 0, y: 0'
'worldPose: x: 25.446094,y: 5.705372,theta: 0.056892, gridPosition: x: 0, y: 0'
'worldPose: x: 25.456636,y: 5.705977,theta: 0.057713, gridPosition: x: 0, y: 0'
'worldPose: x: 25.466896,y: 5.706574,theta: 0.058227, gridPosition: x: 0, y: 0'
'worldPose: x: 25.477311,y: 5.707178,theta: 0.057618, gridPosition: x: 0, y: 0'
'worldPose: x: 25.489078,y: 5.707853,theta: 0.057239, gridPosition: x: 0, y: 0'
'worldPose: x: 25.501234,y: 5.708554,theta: 0.057956, gridPosition: x: 0, y: 0'
'worldPose: x: 25.514053,y: 5.709301,theta: 0.058081, gridPosition: x: 0, y: 0'
'worldPose: x: 25.527914,y: 5.710102,theta: 0.057616, gridPosition: x: 0, y: 0'
'worldPose: x: 25.541782,y: 5.710907,theta: 0.058320, gridPosition: x: 0, y: 0'
'worldPose: x: 25.557403,y: 5.711825,theta: 0.058873, gridPosition: x: 0, y: 0'
'worldPose: x: 25.572960,y: 5.712741,theta: 0.058785, gridPosition: x: 0, y: 0'
'worldPose: x: 25.588572,y: 5.713661,theta: 0.058825, gridPosition: x: 0, y: 0'
'worldPose: x: 25.604862,y: 5.714621,theta: 0.058954, gridPosition: x: 0, y: 0'
'worldPose: x: 25.618738,y: 5.715444,theta: 0.059536, gridPosition: x: 0, y: 0'
'worldPose: x: 25.592019,y: 5.716866,theta: 0.060272, gridPosition: x: 0, y: 0'
'worldPose: x: 25.608348,y: 5.717852,theta: 0.060243, gridPosition: x: 0, y: 0'
'worldPose: x: 25.624622,y: 5.718835,theta: 0.060412, gridPosition: x: 0, y: 0'
