'worldPose: x: 1.370592,y: 0.018889,theta: -0.042471, gridPosition: x: 0, y: 0'
'worldPose: x: 1.386193,y: 0.018242,theta: -0.040991, gridPosition: x: 0, y: 0'
'worldPose: x: 1.401806,y: 0.017611,theta: -0.039981, gridPosition: x: 0, y: 0'
'worldPose: x: 1.417432,y: 0.016998,theta: -0.038651, gridPosition: x: 0, y: 0'
'worldPose: x: 1.433037,y: 0.016414,theta: -0.036821, gridPosition: x: 0, y: 0'
'worldPose: x: 1.448650,y: 0.015862,theta: -0.034072, gridPosition: x: 0, y: 0'
'worldPose: x: 1.464274,y: 0.015369,theta: -0.029597, gridPosition: x: 0, y: 0'
'worldPose: x: 1.479877,y: 0.014956,theta: -0.024451, gridPosition: x: 0, y: 0'
'worldPose: x: 1.495513,y: 0.014619,theta: -0.019567, gridPosition: x: 0, y: 0'
'worldPose: x: 1.511129,y: 0.014359,theta: -0.014716, gridPosition: x: 0, y: 0'
'worldPose: x: 1.526760,y: 0.014173,theta: -0.009964, gridPosition: x: 0, y: 0'
'worldPose: x: 1.542379,y: 0.014065,theta: -0.005020, gridPosition: x: 0, y: 0'
'worldPose: x: 1.558024,y: 0.014038,theta: 0.000539, gridPosition: x: 0, y: 0'
'worldPose: x: 1.573630,y: 0.014108,theta: 0.007225, gridPosition: x: 0, y: 0'
'worldPose: x: 1.586128,y: 0.014237,theta: 0.012439, gridPosition: x: 0, y: 0'
'worldPose: x: 1.605079,y: 0.014568,theta: 0.021102, gridPosition: x: 0, y: 0'
'worldPose: x: 1.620494,y: 0.014959,theta: 0.028181, gridPosition: x: 0, y: 0'
'worldPose: x: 1.636110,y: 0.015469,theta: 0.035735, gridPosition: x: 0, y: 0'
'worldPose: x: 1.651767,y: 0.016106,theta: 0.043950, gridPosition: x: 0, y: 0'
'worldPose: x: 1.667336,y: 0.037113,theta: 0.046389, gridPosition: x: 0, y: 0'
'worldPose: x: 1.682933,y: 0.040324,theta: 0.054636, gridPosition: x: 0, y: 0'
'worldPose: x: 1.698531,y: 0.041257,theta: 0.063197, gridPosition: x: 0, y: 0'
'worldPose: x: 1.714113,y: 0.042330,theta: 0.072620, gridPosition: x: 0, y: 0'
'worldPose: x: 1.729702,y: 0.043555,theta: 0.082293, gridPosition: x: 0, y: 0'
'worldPose: x: 1.745267,y: 0.044925,theta: 0.091659, gridPosition: x: 0, y: 0'
'worldPose: x: 1.760819,y: 0.046450,theta: 0.101965, gridPosition: x: 0, y: 0'
'worldPose: x: 1.773249,y: 0.047787,theta: 0.110518, gridPosition: x: 0, y: 0'
'worldPose: x: 1.791871,y: 0.050003,theta: 0.123643, gridPosition: x: 0, y: 0'
'worldPose: x: 1.807356,y: 0.052023,theta: 0.133886, gridPosition: x: 0, y: 0'
'worldPose: x: 1.822823,y: 0.054201,theta: 0.143763, gridPosition: x: 0, y: 0'
'worldPose: x: 1.838282,y: 0.056526,theta: 0.153233, gridPosition: x: 0, y: 0'
'worldPose: x: 1.817960,y: 0.051276,theta: 0.160648, gridPosition: x: 0, y: 0'
'worldPose: x: 1.828986,y: 0.052920,theta: 0.170937, gridPosition: x: 0, y: 0'
'worldPose: x: 1.844372,y: 0.055675,theta: 0.181225, gridPosition: x: 0, y: 0'
'worldPose: x: 1.859735,y: 0.058573,theta: 0.190323, gridPosition: x: 0, y: 0'
'worldPose: x: 1.875063,y: 0.061622,theta: 0.200532, gridPosition: x: 0, y: 0'
'worldPose: x: 1.890335,y: 0.064823,theta: 0.210898, gridPosition: x: 0, y: 0'
'worldPose: x: 1.905592,y: 0.068194,theta: 0.221707, gridPosition: x: 0, y: 0'
'worldPose: x: 1.920811,y: 0.071718,theta: 0.231485, gridPosition: x: 0, y: 0'
'worldPose: x: 1.936007,y: 0.075394,theta: 0.241394, gridPosition: x: 0, y: 0'
'worldPose: x: 1.951154,y: 0.079220,theta: 0.251739, gridPosition: x: 0, y: 0'
