'worldPose: x: 0.096033,y: 0.018436,theta: 0.015396, gridPosition: x: 0, y: 0'
'worldPose: x: 0.101238,y: 0.018515,theta: 0.014872, gridPosition: x: 0, y: 0'
'worldPose: x: 0.106447,y: 0.018591,theta: 0.014387, gridPosition: x: 0, y: 0'
'worldPose: x: 0.111655,y: 0.018665,theta: 0.014203, gridPosition: x: 0, y: 0'
'worldPose: x: 0.116863,y: 0.018739,theta: 0.014253, gridPosition: x: 0, y: 0'
'worldPose: x: 0.122070,y: 0.018814,theta: 0.014603, gridPosition: x: 0, y: 0'
'worldPose: x: 0.127320,y: 0.018893,theta: 0.015569, gridPosition: x: 0, y: 0'
'worldPose: x: 0.132487,y: 0.018975,theta: 0.015820, gridPosition: x: 0, y: 0'
'worldPose: x: 0.138034,y: 0.019061,theta: 0.015248, gridPosition: x: 0, y: 0'
'worldPose: x: 0.144978,y: 0.019162,theta: 0.014139, gridPosition: x: 0, y: 0'
'worldPose: x: 0.152277,y: 0.019261,theta: 0.013205, gridPosition: x: 0, y: 0'
'worldPose: x: 0.160956,y: 0.019373,theta: 0.012804, gridPosition: x: 0, y: 0'
'worldPose: x: 0.171017,y: 0.019503,theta: 0.013038, gridPosition: x: 0, y: 0'
'worldPose: x: 0.181502,y: 0.019640,theta: 0.013025, gridPosition: x: 0, y: 0'
'worldPose: x: 0.189778,y: 0.019746,theta: 0.012524, gridPosition: x: 0, y: 0'
'worldPose: x: 0.202611,y: 0.019900,theta: 0.011791, gridPosition: x: 0, y: 0'
'worldPose: x: 0.214769,y: 0.020041,theta: 0.011174, gridPosition: x: 0, y: 0'
'worldPose: x: 0.226930,y: 0.020173,theta: 0.010599, gridPosition: x: 0, y: 0'
'worldPose: x: 0.239073,y: 0.020295,theta: 0.009722, gridPosition: x: 0, y: 0'
'worldPose: x: 0.251231,y: 0.020410,theta: 0.009317, gridPosition: x: 0, y: 0'
'worldPose: x: 0.263035,y: 0.020520,theta: 0.009233, gridPosition: x: 0, y: 0'
'worldPose: x: 0.274836,y: 0.020626,theta: 0.008839, gridPosition: x: 0, y: 0'
'worldPose: x: 0.285601,y: 0.020719,theta: 0.008339, gridPosition: x: 0, y: 0'
'worldPose: x: 0.296025,y: 0.020806,theta: 0.008382, gridPosition: x: 0, y: 0'
'worldPose: x: 0.306439,y: 0.020892,theta: 0.008143, gridPosition: x: 0, y: 0'
'worldPose: x: 0.316849,y: 0.020972,theta: 0.007411, gridPosition: x: 0, y: 0'
'worldPose: x: 0.327277,y: 0.021047,theta: 0.006917, gridPosition: x: 0, y: 0'
'worldPose: x: 0.337758,y: 0.021119,theta: 0.006853, gridPosition: x: 0, y: 0'
'worldPose: x: 0.348107,y: 0.021188,theta: 0.006510, gridPosition: x: 0, y: 0'
'worldPose: x: 0.358512,y: 0.021251,theta: 0.005885, gridPosition: x: 0, y: 0'
'worldPose: x: 0.368941,y: 0.021311,theta: 0.005749, gridPosition: x: 0, y: 0'
'worldPose: x: 0.379359,y: 0.021372,theta: 0.005998, gridPosition: x: 0, y: 0'
'worldPose: x: 0.389894,y: 0.021436,theta: 0.005931, gridPosition: x: 0, y: 0'
'worldPose: x: 0.400183,y: 0.021495,theta: 0.005532, gridPosition: x: 0, y: 0'
'worldPose: x: 0.409102,y: 0.021541,theta: 0.005080, gridPosition: x: 0, y: 0'
'worldPose: x: 0.421109,y: 0.021600,theta: 0.004838, gridPosition: x: 0, y: 0'
'worldPose: x: 0.431450,y: 0.021648,theta: 0.004379, gridPosition: x: 0, y: 0'
'worldPose: x: 0.441859,y: 0.021688,theta: 0.003385, gridPosition: x: 0, y: 0'
'worldPose: x: 0.452279,y: 0.021715,theta: 0.001909, gridPosition: x: 0, y: 0'
'worldPose: x: 0.462693,y: 0.021731,theta: 0.001335, gridPosition: x: 0, y: 0'
'worldPose: x: 0.390835,y: 0.055936,theta: -0.006876, gridPosition: x: 0, y: 0'
'worldPose: x: 0.383481,y: 0.062985,theta: -0.008587, gridPosition: x: 0, y: 0'
'worldPose: x: 0.392502,y: 0.062907,theta: -0.008623, gridPosition: x: 0, y: 0'
'worldPose: x: 0.407088,y: 0.062789,theta: -0.008173, gridPosition: x: 0, y: 0'
'worldPose: x: 0.419925,y: 0.062681,theta: -0.008455, gridPosition: x: 0, y: 0'
'worldPose: x: 0.433809,y: 0.062560,theta: -0.008890, gridPosition: x: 0, y: 0'
'worldPose: x: 0.448392,y: 0.062426,theta: -0.009155, gridPosition: x: 0, y: 0'
'worldPose: x: 0.464019,y: 0.055902,theta: -0.009948, gridPosition: x: 0, y: 0'
'worldPose: x: 0.479986,y: 0.042113,theta: -0.010201, gridPosition: x: 0, y: 0'
'worldPose: x: 0.497356,y: 0.041927,theta: -0.011262, gridPosition: x: 0, y: 0'
'worldPose: x: 0.514710,y: 0.041715,theta: -0.012808, gridPosition: x: 0, y: 0'
'worldPose: x: 0.532050,y: 0.041485,theta: -0.013468, gridPosition: x: 0, y: 0'
'worldPose: x: 0.549425,y: 0.041253,theta: -0.013087, gridPosition: x: 0, y: 0'
'worldPose: x: 0.566808,y: 0.041029,theta: -0.012884, gridPosition: x: 0, y: 0'
'worldPose: x: 0.582411,y: 0.040825,theta: -0.013252, gridPosition: x: 0, y: 0'
'worldPose: x: 0.598387,y: 0.040607,theta: -0.013788, gridPosition: x: 0, y: 0'
'worldPose: x: 0.614363,y: 0.040386,theta: -0.013967, gridPosition: x: 0, y: 0'
'worldPose: x: 0.630686,y: 0.040149,theta: -0.015081, gridPosition: x: 0, y: 0'
'worldPose: x: 0.646311,y: 0.039898,theta: -0.016508, gridPosition: x: 0, y: 0'
'worldPose: x: 0.662390,y: 0.039626,theta: -0.017016, gridPosition: x: 0, y: 0'
'worldPose: x: 0.678654,y: 0.039352,theta: -0.016645, gridPosition: x: 0, y: 0'
'worldPose: x: 0.694312,y: 0.039097,theta: -0.016157, gridPosition: x: 0, y: 0'
'worldPose: x: 0.709832,y: 0.038843,theta: -0.016761, gridPosition: x: 0, y: 0'
'worldPose: x: 0.725456,y: 0.038570,theta: -0.017923, gridPosition: x: 0, y: 0'
'worldPose: x: 0.741071,y: 0.038281,theta: -0.018891, gridPosition: x: 0, y: 0'
'worldPose: x: 0.780491,y: 0.035547,theta: -0.019875, gridPosition: x: 0, y: 0'
'worldPose: x: 0.796108,y: 0.035227,theta: -0.020800, gridPosition: x: 0, y: 0'
'worldPose: x: 0.811730,y: 0.034898,theta: -0.021105, gridPosition: x: 0, y: 0'
'worldPose: x: 0.827346,y: 0.034568,theta: -0.021169, gridPosition: x: 0, y: 0'
'worldPose: x: 0.842969,y: 0.034239,theta: -0.020970, gridPosition: x: 0, y: 0'
'worldPose: x: 0.858580,y: 0.033913,theta: -0.020999, gridPosition: x: 0, y: 0'
'worldPose: x: 0.874203,y: 0.033575,theta: -0.022098, gridPosition: x: 0, y: 0'
'worldPose: x: 0.889823,y: 0.033221,theta: -0.023018, gridPosition: x: 0, y: 0'
'worldPose: x: 0.905458,y: 0.032856,theta: -0.023441, gridPosition: x: 0, y: 0'
'worldPose: x: 0.921063,y: 0.032488,theta: -0.023581, gridPosition: x: 0, y: 0'
'worldPose: x: 0.936687,y: 0.032119,theta: -0.023515, gridPosition: x: 0, y: 0'
'worldPose: x: 0.952307,y: 0.031754,theta: -0.023323, gridPosition: x: 0, y: 0'
'worldPose: x: 0.967936,y: 0.031389,theta: -0.023298, gridPosition: x: 0, y: 0'
'worldPose: x: 0.983558,y: 0.031027,theta: -0.023203, gridPosition: x: 0, y: 0'
'worldPose: x: 0.999187,y: 0.030663,theta: -0.023307, gridPosition: x: 0, y: 0'
'worldPose: x: 1.015151,y: 0.030291,theta: -0.023359, gridPosition: x: 0, y: 0'
'worldPose: x: 1.031115,y: 0.029917,theta: -0.023495, gridPosition: x: 0, y: 0'
'worldPose: x: 1.047076,y: 0.029538,theta: -0.023724, gridPosition: x: 0, y: 0'
'worldPose: x: 1.056793,y: 0.029307,theta: -0.023725, gridPosition: x: 0, y: 0'
'worldPose: x: 1.079015,y: 0.028783,theta: -0.023696, gridPosition: x: 0, y: 0'
'worldPose: x: 1.095531,y: 0.028389,theta: -0.023963, gridPosition: x: 0, y: 0'
'worldPose: x: 1.112872,y: 0.027969,theta: -0.024461, gridPosition: x: 0, y: 0'
'worldPose: x: 1.126805,y: 0.027627,theta: -0.024587, gridPosition: x: 0, y: 0'
'worldPose: x: 1.146886,y: 0.027134,theta: -0.024543, gridPosition: x: 0, y: 0'
'worldPose: x: 1.161987,y: 0.028915,theta: -0.024231, gridPosition: x: 0, y: 0'
'worldPose: x: 1.173024,y: 0.036534,theta: -0.023593, gridPosition: x: 0, y: 0'
'worldPose: x: 1.188650,y: 0.036175,theta: -0.022419, gridPosition: x: 0, y: 0'
'worldPose: x: 1.204265,y: 0.035844,theta: -0.020336, gridPosition: x: 0, y: 0'
'worldPose: x: 1.219889,y: 0.035537,theta: -0.019548, gridPosition: x: 0, y: 0'
'worldPose: x: 1.236549,y: 0.035192,theta: -0.021781, gridPosition: x: 0, y: 0'
'worldPose: x: 1.252656,y: 0.034810,theta: -0.025006, gridPosition: x: 0, y: 0'
'worldPose: x: 1.268137,y: 0.034406,theta: -0.026437, gridPosition: x: 0, y: 0'
'worldPose: x: 1.283758,y: 0.033998,theta: -0.025726, gridPosition: x: 0, y: 0'
'worldPose: x: 1.299360,y: 0.033611,theta: -0.024126, gridPosition: x: 0, y: 0'
'worldPose: x: 1.314989,y: 0.033242,theta: -0.023510, gridPosition: x: 0, y: 0'
