'worldPose: x: 0.210855,y: -0.719103,theta: 0.012954, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012976, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012976, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012978, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012980, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012968, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012958, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012955, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012950, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012939, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012947, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012951, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012954, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012959, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012961, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012946, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012938, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012917, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012917, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012915, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012906, gridPosition: x: 0, y: 0'
'worldPose: x: 0.210855,y: -0.719103,theta: 0.012853, gridPosition: x: 0, y: 0'
'worldPose: x: 0.211895,y: -0.719090,theta: 0.012799, gridPosition: x: 0, y: 0'
'worldPose: x: 0.213978,y: -0.719063,theta: 0.012766, gridPosition: x: 0, y: 0'
'worldPose: x: 0.217450,y: -0.719019,theta: 0.012754, gridPosition: x: 0, y: 0'
'worldPose: x: 0.220921,y: -0.718975,theta: 0.012702, gridPosition: x: 0, y: 0'
'worldPose: x: 0.224395,y: -0.718931,theta: 0.012581, gridPosition: x: 0, y: 0'
'worldPose: x: 0.228562,y: -0.718879,theta: 0.012361, gridPosition: x: 0, y: 0'
'worldPose: x: 0.232033,y: -0.718836,theta: 0.012214, gridPosition: x: 0, y: 0'
'worldPose: x: 0.235505,y: -0.718794,theta: 0.012138, gridPosition: x: 0, y: 0'
'worldPose: x: 0.238977,y: -0.718752,theta: 0.012154, gridPosition: x: 0, y: 0'
'worldPose: x: 0.242448,y: -0.718710,theta: 0.012123, gridPosition: x: 0, y: 0'
'worldPose: x: 0.245940,y: -0.718668,theta: 0.011894, gridPosition: x: 0, y: 0'
'worldPose: x: 0.250078,y: -0.718620,theta: 0.011244, gridPosition: x: 0, y: 0'
'worldPose: x: 0.254591,y: -0.718571,theta: 0.010187, gridPosition: x: 0, y: 0'
'worldPose: x: 0.259799,y: -0.718521,theta: 0.009264, gridPosition: x: 0, y: 0'
'worldPose: x: 0.265012,y: -0.718475,theta: 0.008691, gridPosition: x: 0, y: 0'
'worldPose: x: 0.270560,y: -0.718427,theta: 0.008686, gridPosition: x: 0, y: 0'
'worldPose: x: 0.276465,y: -0.718373,theta: 0.009526, gridPosition: x: 0, y: 0'
'worldPose: x: 0.281679,y: -0.718321,theta: 0.010493, gridPosition: x: 0, y: 0'
'worldPose: x: 0.287922,y: -0.718254,theta: 0.010570, gridPosition: x: 0, y: 0'
'worldPose: x: 0.293481,y: -0.718198,theta: 0.009747, gridPosition: x: 0, y: 0'
'worldPose: x: 0.298688,y: -0.718151,theta: 0.008566, gridPosition: x: 0, y: 0'
'worldPose: x: 0.304934,y: -0.718101,theta: 0.007509, gridPosition: x: 0, y: 0'
'worldPose: x: 0.310143,y: -0.718064,theta: 0.007015, gridPosition: x: 0, y: 0'
'worldPose: x: 0.315352,y: -0.718026,theta: 0.007418, gridPosition: x: 0, y: 0'
'worldPose: x: 0.321258,y: -0.717980,theta: 0.008179, gridPosition: x: 0, y: 0'
'worldPose: x: 0.326462,y: -0.717936,theta: 0.008598, gridPosition: x: 0, y: 0'
'worldPose: x: 0.331672,y: -0.717891,theta: 0.008503, gridPosition: x: 0, y: 0'
'worldPose: x: 0.336905,y: -0.717848,theta: 0.008075, gridPosition: x: 0, y: 0'
'worldPose: x: 0.342108,y: -0.717808,theta: 0.007408, gridPosition: x: 0, y: 0'
'worldPose: x: 0.347293,y: -0.717771,theta: 0.006803, gridPosition: x: 0, y: 0'
'worldPose: x: 0.352504,y: -0.717736,theta: 0.006707, gridPosition: x: 0, y: 0'
'worldPose: x: 0.357711,y: -0.717701,theta: 0.007025, gridPosition: x: 0, y: 0'
'worldPose: x: 0.362932,y: -0.717663,theta: 0.007313, gridPosition: x: 0, y: 0'
'worldPose: x: 0.368127,y: -0.717625,theta: 0.007284, gridPosition: x: 0, y: 0'
'worldPose: x: 0.373337,y: -0.717588,theta: 0.006871, gridPosition: x: 0, y: 0'
'worldPose: x: 0.378545,y: -0.717554,theta: 0.006188, gridPosition: x: 0, y: 0'
'worldPose: x: 0.383753,y: -0.717524,theta: 0.005464, gridPosition: x: 0, y: 0'
'worldPose: x: 0.388958,y: -0.717498,theta: 0.004978, gridPosition: x: 0, y: 0'
'worldPose: x: 0.394167,y: -0.717472,theta: 0.004975, gridPosition: x: 0, y: 0'
'worldPose: x: 0.398681,y: -0.717449,theta: 0.005184, gridPosition: x: 0, y: 0'
'worldPose: x: 0.402153,y: -0.717430,theta: 0.005625, gridPosition: x: 0, y: 0'
'worldPose: x: 0.405625,y: -0.717409,theta: 0.005971, gridPosition: x: 0, y: 0'
'worldPose: x: 0.409099,y: -0.717388,theta: 0.006235, gridPosition: x: 0, y: 0'
'worldPose: x: 0.413264,y: -0.717362,theta: 0.006134, gridPosition: x: 0, y: 0'
'worldPose: x: 0.417778,y: -0.717336,theta: 0.005491, gridPosition: x: 0, y: 0'
'worldPose: x: 0.422993,y: -0.717311,theta: 0.004506, gridPosition: x: 0, y: 0'
'worldPose: x: 0.428196,y: -0.717290,theta: 0.003606, gridPosition: x: 0, y: 0'
'worldPose: x: 0.433415,y: -0.717274,theta: 0.002866, gridPosition: x: 0, y: 0'
'worldPose: x: 0.438614,y: -0.717260,theta: 0.002567, gridPosition: x: 0, y: 0'
'worldPose: x: 0.443824,y: -0.717246,theta: 0.002724, gridPosition: x: 0, y: 0'
'worldPose: x: 0.449035,y: -0.717231,theta: 0.003267, gridPosition: x: 0, y: 0'
'worldPose: x: 0.454237,y: -0.717212,theta: 0.003942, gridPosition: x: 0, y: 0'
'worldPose: x: 0.459445,y: -0.717190,theta: 0.004028, gridPosition: x: 0, y: 0'
'worldPose: x: 0.464657,y: -0.717171,theta: 0.003422, gridPosition: x: 0, y: 0'
'worldPose: x: 0.470901,y: -0.717154,theta: 0.002273, gridPosition: x: 0, y: 0'
'worldPose: x: 0.477154,y: -0.717144,theta: 0.001269, gridPosition: x: 0, y: 0'
'worldPose: x: 0.482362,y: -0.717139,theta: 0.000615, gridPosition: x: 0, y: 0'
'worldPose: x: 0.487906,y: -0.717137,theta: 0.000558, gridPosition: x: 0, y: 0'
'worldPose: x: 0.494509,y: -0.717130,theta: 0.001329, gridPosition: x: 0, y: 0'
'worldPose: x: 0.500065,y: -0.717119,theta: 0.002300, gridPosition: x: 0, y: 0'
'worldPose: x: 0.506316,y: -0.717104,theta: 0.002408, gridPosition: x: 0, y: 0'
'worldPose: x: 0.511872,y: -0.717094,theta: 0.001274, gridPosition: x: 0, y: 0'
'worldPose: x: 0.517080,y: -0.717093,theta: -0.000489, gridPosition: x: 0, y: 0'
'worldPose: x: 0.523328,y: -0.717102,theta: -0.001952, gridPosition: x: 0, y: 0'
