'worldPose: x: -4.638997,y: -0.191490,theta: 0.070276, gridPosition: x: 0, y: 0'
'worldPose: x: -4.635341,y: -0.204783,theta: 0.070908, gridPosition: x: 0, y: 0'
'worldPose: x: -4.635341,y: -0.204783,theta: 0.070908, gridPosition: x: 0, y: 0'
'worldPose: x: -4.612051,y: -0.199029,theta: 0.069397, gridPosition: x: 0, y: 0'
'worldPose: x: -4.609454,y: -0.216914,theta: 0.070387, gridPosition: x: 0, y: 0'
'worldPose: x: -4.609454,y: -0.216914,theta: 0.070387, gridPosition: x: 0, y: 0'
'worldPose: x: -4.571232,y: -0.199651,theta: 0.069101, gridPosition: x: 0, y: 0'
'worldPose: x: -4.571232,y: -0.199651,theta: 0.069101, gridPosition: x: 0, y: 0'
'worldPose: x: -4.571232,y: -0.199651,theta: 0.069101, gridPosition: x: 0, y: 0'
'worldPose: x: -4.565034,y: -0.213269,theta: 0.069541, gridPosition: x: 0, y: 0'
'worldPose: x: -4.565034,y: -0.213269,theta: 0.069541, gridPosition: x: 0, y: 0'
'worldPose: x: -4.528891,y: -0.195151,theta: 0.068197, gridPosition: x: 0, y: 0'
'worldPose: x: -4.528538,y: -0.212732,theta: 0.069051, gridPosition: x: 0, y: 0'
'worldPose: x: -4.528538,y: -0.212732,theta: 0.069051, gridPosition: x: 0, y: 0'
'worldPose: x: -4.528538,y: -0.212732,theta: 0.069051, gridPosition: x: 0, y: 0'
'worldPose: x: -4.485533,y: -0.191085,theta: 0.068543, gridPosition: x: 0, y: 0'
'worldPose: x: -4.487781,y: -0.203305,theta: 0.067808, gridPosition: x: 0, y: 0'
'worldPose: x: -4.487781,y: -0.203305,theta: 0.067808, gridPosition: x: 0, y: 0'
'worldPose: x: -4.487781,y: -0.203305,theta: 0.067808, gridPosition: x: 0, y: 0'
'worldPose: x: -4.444439,y: -0.185073,theta: 0.069080, gridPosition: x: 0, y: 0'
'worldPose: x: -4.444439,y: -0.185073,theta: 0.069080, gridPosition: x: 0, y: 0'
'worldPose: x: -4.457006,y: -0.208912,theta: 0.066255, gridPosition: x: 0, y: 0'
'worldPose: x: -4.457006,y: -0.208912,theta: 0.066255, gridPosition: x: 0, y: 0'
'worldPose: x: -4.411555,y: -0.197208,theta: 0.067968, gridPosition: x: 0, y: 0'
'worldPose: x: -4.411555,y: -0.197208,theta: 0.067968, gridPosition: x: 0, y: 0'
'worldPose: x: -4.422197,y: -0.199107,theta: 0.064542, gridPosition: x: 0, y: 0'
'worldPose: x: -4.368384,y: -0.196618,theta: 0.067344, gridPosition: x: 0, y: 0'
'worldPose: x: -4.368384,y: -0.196618,theta: 0.067344, gridPosition: x: 0, y: 0'
'worldPose: x: -4.368384,y: -0.196618,theta: 0.067344, gridPosition: x: 0, y: 0'
'worldPose: x: -4.361272,y: -0.205931,theta: 0.057159, gridPosition: x: 0, y: 0'
'worldPose: x: -4.320790,y: -0.205770,theta: 0.064204, gridPosition: x: 0, y: 0'
'worldPose: x: -4.320790,y: -0.205770,theta: 0.064204, gridPosition: x: 0, y: 0'
'worldPose: x: -4.320790,y: -0.205770,theta: 0.064204, gridPosition: x: 0, y: 0'
'worldPose: x: -4.331877,y: -0.195489,theta: 0.050940, gridPosition: x: 0, y: 0'
'worldPose: x: -4.274792,y: -0.214127,theta: 0.061895, gridPosition: x: 0, y: 0'
'worldPose: x: -4.274792,y: -0.214127,theta: 0.061895, gridPosition: x: 0, y: 0'
'worldPose: x: -4.274792,y: -0.214127,theta: 0.061895, gridPosition: x: 0, y: 0'
'worldPose: x: -4.276483,y: -0.194308,theta: 0.056954, gridPosition: x: 0, y: 0'
'worldPose: x: -4.276483,y: -0.194308,theta: 0.056954, gridPosition: x: 0, y: 0'
'worldPose: x: -4.262776,y: -0.222969,theta: 0.065204, gridPosition: x: 0, y: 0'
'worldPose: x: -4.228057,y: -0.212144,theta: 0.061477, gridPosition: x: 0, y: 0'
'worldPose: x: -4.228057,y: -0.212144,theta: 0.061477, gridPosition: x: 0, y: 0'
'worldPose: x: -4.228057,y: -0.212144,theta: 0.061477, gridPosition: x: 0, y: 0'
'worldPose: x: -4.208678,y: -0.208638,theta: 0.062414, gridPosition: x: 0, y: 0'
'worldPose: x: -4.208678,y: -0.208638,theta: 0.062414, gridPosition: x: 0, y: 0'
'worldPose: x: -4.163811,y: -0.203758,theta: 0.063251, gridPosition: x: 0, y: 0'
'worldPose: x: -4.163811,y: -0.203758,theta: 0.063251, gridPosition: x: 0, y: 0'
'worldPose: x: -4.140847,y: -0.236457,theta: 0.058130, gridPosition: x: 0, y: 0'
'worldPose: x: -4.140847,y: -0.236457,theta: 0.058130, gridPosition: x: 0, y: 0'
'worldPose: x: -4.119909,y: -0.206873,theta: 0.062172, gridPosition: x: 0, y: 0'
'worldPose: x: -4.065779,y: -0.214942,theta: 0.059216, gridPosition: x: 0, y: 0'
'worldPose: x: -4.065779,y: -0.214942,theta: 0.059216, gridPosition: x: 0, y: 0'
'worldPose: x: -4.065953,y: -0.209752,theta: 0.059680, gridPosition: x: 0, y: 0'
'worldPose: x: -4.065953,y: -0.209752,theta: 0.059680, gridPosition: x: 0, y: 0'
'worldPose: x: -4.007068,y: -0.210083,theta: 0.061165, gridPosition: x: 0, y: 0'
'worldPose: x: -4.007068,y: -0.210083,theta: 0.061165, gridPosition: x: 0, y: 0'
'worldPose: x: -4.007068,y: -0.210083,theta: 0.061165, gridPosition: x: 0, y: 0'
'worldPose: x: -4.005573,y: -0.192365,theta: 0.055570, gridPosition: x: 0, y: 0'
'worldPose: x: -4.005573,y: -0.192365,theta: 0.055570, gridPosition: x: 0, y: 0'
'worldPose: x: -3.946846,y: -0.210293,theta: 0.062278, gridPosition: x: 0, y: 0'
'worldPose: x: -3.946846,y: -0.210293,theta: 0.062278, gridPosition: x: 0, y: 0'
'worldPose: x: -3.925647,y: -0.210984,theta: 0.059056, gridPosition: x: 0, y: 0'
'worldPose: x: -3.925647,y: -0.210984,theta: 0.059056, gridPosition: x: 0, y: 0'
'worldPose: x: -3.863094,y: -0.196728,theta: 0.058641, gridPosition: x: 0, y: 0'
'worldPose: x: -3.862474,y: -0.206647,theta: 0.057505, gridPosition: x: 0, y: 0'
'worldPose: x: -3.862474,y: -0.206647,theta: 0.057505, gridPosition: x: 0, y: 0'
'worldPose: x: -3.812628,y: -0.193662,theta: 0.058280, gridPosition: x: 0, y: 0'
'worldPose: x: -3.812628,y: -0.193662,theta: 0.058280, gridPosition: x: 0, y: 0'
'worldPose: x: -3.812628,y: -0.193662,theta: 0.058280, gridPosition: x: 0, y: 0'
'worldPose: x: -3.815310,y: -0.187439,theta: 0.053101, gridPosition: x: 0, y: 0'
'worldPose: x: -3.815310,y: -0.187439,theta: 0.053101, gridPosition: x: 0, y: 0'
'worldPose: x: -3.764871,y: -0.198518,theta: 0.063147, gridPosition: x: 0, y: 0'
'worldPose: x: -3.764871,y: -0.198518,theta: 0.063147, gridPosition: x: 0, y: 0'
'worldPose: x: -3.769495,y: -0.192090,theta: 0.055204, gridPosition: x: 0, y: 0'
'worldPose: x: -3.730778,y: -0.186297,theta: 0.055853, gridPosition: x: 0, y: 0'
'worldPose: x: -3.730778,y: -0.186297,theta: 0.055853, gridPosition: x: 0, y: 0'
'worldPose: x: -3.730778,y: -0.186297,theta: 0.055853, gridPosition: x: 0, y: 0'
'worldPose: x: -3.694643,y: -0.174282,theta: 0.051683, gridPosition: x: 0, y: 0'
'worldPose: x: -3.677383,y: -0.186813,theta: 0.052210, gridPosition: x: 0, y: 0'
'worldPose: x: -3.677383,y: -0.186813,theta: 0.052210, gridPosition: x: 0, y: 0'
'worldPose: x: -3.677383,y: -0.186813,theta: 0.052210, gridPosition: x: 0, y: 0'
'worldPose: x: -3.630482,y: -0.165360,theta: 0.051992, gridPosition: x: 0, y: 0'
'worldPose: x: -3.630482,y: -0.165360,theta: 0.051992, gridPosition: x: 0, y: 0'
'worldPose: x: -3.618239,y: -0.183741,theta: 0.050718, gridPosition: x: 0, y: 0'
'worldPose: x: -3.618239,y: -0.183741,theta: 0.050718, gridPosition: x: 0, y: 0'
'worldPose: x: -3.589193,y: -0.155435,theta: 0.051690, gridPosition: x: 0, y: 0'
'worldPose: x: -3.550234,y: -0.177202,theta: 0.050046, gridPosition: x: 0, y: 0'
'worldPose: x: -3.550234,y: -0.177202,theta: 0.050046, gridPosition: x: 0, y: 0'
'worldPose: x: -3.550234,y: -0.177202,theta: 0.050046, gridPosition: x: 0, y: 0'
'worldPose: x: -3.513019,y: -0.150700,theta: 0.049849, gridPosition: x: 0, y: 0'
'worldPose: x: -3.513019,y: -0.150700,theta: 0.049849, gridPosition: x: 0, y: 0'
'worldPose: x: -3.489336,y: -0.178827,theta: 0.049458, gridPosition: x: 0, y: 0'
'worldPose: x: -3.454392,y: -0.156988,theta: 0.049277, gridPosition: x: 0, y: 0'
'worldPose: x: -3.454392,y: -0.156988,theta: 0.049277, gridPosition: x: 0, y: 0'
'worldPose: x: -3.454392,y: -0.156988,theta: 0.049277, gridPosition: x: 0, y: 0'
'worldPose: x: -3.429588,y: -0.179138,theta: 0.049336, gridPosition: x: 0, y: 0'
'worldPose: x: -3.429588,y: -0.179138,theta: 0.049336, gridPosition: x: 0, y: 0'
'worldPose: x: -3.386456,y: -0.161184,theta: 0.049342, gridPosition: x: 0, y: 0'
'worldPose: x: -3.386456,y: -0.161184,theta: 0.049342, gridPosition: x: 0, y: 0'
