'worldPose: x: -2.108449,y: 290.298244,theta: -1.657371, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108732,y: 290.274743,theta: -1.656869, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108732,y: 290.274743,theta: -1.656869, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110167,y: 290.250869,theta: -1.656437, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109087,y: 290.319202,theta: -1.655562, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109087,y: 290.319202,theta: -1.655562, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110392,y: 290.297473,theta: -1.655413, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110235,y: 290.275432,theta: -1.655391, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108045,y: 290.313459,theta: -1.652320, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108045,y: 290.313459,theta: -1.652320, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108201,y: 290.292175,theta: -1.652540, gridPosition: x: 0, y: 0'
'worldPose: x: -2.108201,y: 290.292175,theta: -1.652540, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109457,y: 290.267900,theta: -1.652168, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109109,y: 290.268328,theta: -1.652339, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110311,y: 290.244942,theta: -1.652077, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110311,y: 290.244942,theta: -1.652077, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109582,y: 290.224898,theta: -1.652448, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110291,y: 290.207803,theta: -1.651097, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110291,y: 290.207803,theta: -1.651097, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110277,y: 290.187185,theta: -1.651167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110277,y: 290.187185,theta: -1.651167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111297,y: 290.165280,theta: -1.650929, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110233,y: 290.148891,theta: -1.653045, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110233,y: 290.148891,theta: -1.653045, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111536,y: 290.127352,theta: -1.652469, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111506,y: 290.108073,theta: -1.653268, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111506,y: 290.108073,theta: -1.653268, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111001,y: 290.090342,theta: -1.653359, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111840,y: 290.070146,theta: -1.653650, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111840,y: 290.070146,theta: -1.653650, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113034,y: 290.048374,theta: -1.653006, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111590,y: 290.021073,theta: -1.651643, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111590,y: 290.021073,theta: -1.651643, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112916,y: 289.999633,theta: -1.651242, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112886,y: 289.977994,theta: -1.651177, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111202,y: 289.956308,theta: -1.652649, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111202,y: 289.956308,theta: -1.652649, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112361,y: 289.935755,theta: -1.652139, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112094,y: 289.912383,theta: -1.652167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112094,y: 289.912383,theta: -1.652167, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112667,y: 289.889167,theta: -1.650785, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112667,y: 289.889167,theta: -1.650785, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112762,y: 289.866474,theta: -1.649737, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113761,y: 289.845909,theta: -1.649542, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113430,y: 289.824823,theta: -1.651519, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113430,y: 289.824823,theta: -1.651519, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113738,y: 289.805927,theta: -1.651486, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113738,y: 289.805927,theta: -1.651486, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.114503,y: 289.784324,theta: -1.650290, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111765,y: 289.767594,theta: -1.649560, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111765,y: 289.767594,theta: -1.649560, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113087,y: 289.745133,theta: -1.648998, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113412,y: 289.724941,theta: -1.649184, gridPosition: x: 0, y: 0'
'worldPose: x: -2.113412,y: 289.724941,theta: -1.649184, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110710,y: 289.699065,theta: -1.648666, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110710,y: 289.699065,theta: -1.648666, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110710,y: 289.699065,theta: -1.648666, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110578,y: 289.677907,theta: -1.649074, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110578,y: 289.677907,theta: -1.649074, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111463,y: 289.655670,theta: -1.648662, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111463,y: 289.655670,theta: -1.648662, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111463,y: 289.655670,theta: -1.648662, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109336,y: 289.637288,theta: -1.648520, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109336,y: 289.637288,theta: -1.648520, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110177,y: 289.614797,theta: -1.648301, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110177,y: 289.614797,theta: -1.648301, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110177,y: 289.614797,theta: -1.648301, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111445,y: 289.593753,theta: -1.648101, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111445,y: 289.593753,theta: -1.648101, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110037,y: 289.573295,theta: -1.648261, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110037,y: 289.573295,theta: -1.648261, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110037,y: 289.573295,theta: -1.648261, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110120,y: 289.552544,theta: -1.648297, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110120,y: 289.552544,theta: -1.648297, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109729,y: 289.531298,theta: -1.648037, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109729,y: 289.531298,theta: -1.648037, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109729,y: 289.531298,theta: -1.648037, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110240,y: 289.504196,theta: -1.648086, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110240,y: 289.504196,theta: -1.648086, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110240,y: 289.504196,theta: -1.648086, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109866,y: 289.481422,theta: -1.648186, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109866,y: 289.481422,theta: -1.648186, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111340,y: 289.460992,theta: -1.647955, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111340,y: 289.460992,theta: -1.647955, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109287,y: 289.446375,theta: -1.646594, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109287,y: 289.446375,theta: -1.646594, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109287,y: 289.446375,theta: -1.646594, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110115,y: 289.425963,theta: -1.646317, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110115,y: 289.425963,theta: -1.646317, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109942,y: 289.402394,theta: -1.646422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109942,y: 289.402394,theta: -1.646422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109942,y: 289.402394,theta: -1.646422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110763,y: 289.381705,theta: -1.646194, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110763,y: 289.381705,theta: -1.646194, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110903,y: 289.359231,theta: -1.646318, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110903,y: 289.359231,theta: -1.646318, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110903,y: 289.359231,theta: -1.646318, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111443,y: 289.339776,theta: -1.646465, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111443,y: 289.339776,theta: -1.646465, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109245,y: 289.311901,theta: -1.647475, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109245,y: 289.311901,theta: -1.647475, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109245,y: 289.311901,theta: -1.647475, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109351,y: 289.291996,theta: -1.647384, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109351,y: 289.291996,theta: -1.647384, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109599,y: 289.269870,theta: -1.646529, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109599,y: 289.269870,theta: -1.646529, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109599,y: 289.269870,theta: -1.646529, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109231,y: 289.243534,theta: -1.645861, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109231,y: 289.243534,theta: -1.645861, gridPosition: x: 0, y: 0'
'worldPose: x: -2.109231,y: 289.243534,theta: -1.645861, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110080,y: 289.220574,theta: -1.645950, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110080,y: 289.220574,theta: -1.645950, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110768,y: 289.200538,theta: -1.645957, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110768,y: 289.200538,theta: -1.645957, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110756,y: 289.171213,theta: -1.645550, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110756,y: 289.171213,theta: -1.645550, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110756,y: 289.171213,theta: -1.645550, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111574,y: 289.149475,theta: -1.645451, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111574,y: 289.149475,theta: -1.645451, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111237,y: 289.127847,theta: -1.645615, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111237,y: 289.127847,theta: -1.645615, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111237,y: 289.127847,theta: -1.645615, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111240,y: 289.107573,theta: -1.645615, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111240,y: 289.107573,theta: -1.645615, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110977,y: 289.085900,theta: -1.645605, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110977,y: 289.085900,theta: -1.645605, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110977,y: 289.085900,theta: -1.645605, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112008,y: 289.064692,theta: -1.644817, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112008,y: 289.064692,theta: -1.644817, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112008,y: 289.064692,theta: -1.644817, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111336,y: 289.043107,theta: -1.645811, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111336,y: 289.043107,theta: -1.645811, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112490,y: 289.023200,theta: -1.645675, gridPosition: x: 0, y: 0'
'worldPose: x: -2.112490,y: 289.023200,theta: -1.645675, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110865,y: 289.002518,theta: -1.646102, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110865,y: 289.002518,theta: -1.646102, gridPosition: x: 0, y: 0'
'worldPose: x: -2.110865,y: 289.002518,theta: -1.646102, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111280,y: 288.984299,theta: -1.644266, gridPosition: x: 0, y: 0'
'worldPose: x: -2.111280,y: 288.984299,theta: -1.644266, gridPosition: x: 0, y: 0'
