'worldPose: x: -1.850523,y: 281.227796,theta: -1.628139, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850523,y: 281.227796,theta: -1.628139, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849234,y: 281.204883,theta: -1.628647, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849234,y: 281.204883,theta: -1.628647, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849234,y: 281.204883,theta: -1.628647, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849837,y: 281.178916,theta: -1.630758, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849837,y: 281.178916,theta: -1.630758, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850634,y: 281.155344,theta: -1.630436, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850634,y: 281.155344,theta: -1.630436, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850634,y: 281.155344,theta: -1.630436, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851379,y: 281.131615,theta: -1.630213, gridPosition: x: 0, y: 0'
'worldPose: x: -1.851379,y: 281.131615,theta: -1.630213, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850523,y: 281.105959,theta: -1.629702, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850523,y: 281.105959,theta: -1.629702, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850523,y: 281.105959,theta: -1.629702, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850539,y: 281.083590,theta: -1.629858, gridPosition: x: 0, y: 0'
'worldPose: x: -1.850539,y: 281.083590,theta: -1.629858, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849964,y: 281.063532,theta: -1.629727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849964,y: 281.063532,theta: -1.629727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849964,y: 281.063532,theta: -1.629727, gridPosition: x: 0, y: 0'
'worldPose: x: -1.846387,y: 281.041210,theta: -1.629418, gridPosition: x: 0, y: 0'
'worldPose: x: -1.846387,y: 281.041210,theta: -1.629418, gridPosition: x: 0, y: 0'
'worldPose: x: -1.847495,y: 281.018882,theta: -1.629127, gridPosition: x: 0, y: 0'
'worldPose: x: -1.847495,y: 281.018882,theta: -1.629127, gridPosition: x: 0, y: 0'
'worldPose: x: -1.847495,y: 281.018882,theta: -1.629127, gridPosition: x: 0, y: 0'
'worldPose: x: -1.848208,y: 280.998185,theta: -1.629151, gridPosition: x: 0, y: 0'
'worldPose: x: -1.848208,y: 280.998185,theta: -1.629151, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849543,y: 280.980217,theta: -1.626424, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849543,y: 280.980217,theta: -1.626424, gridPosition: x: 0, y: 0'
'worldPose: x: -1.849543,y: 280.980217,theta: -1.626424, gridPosition: x: 0, y: 0'
