'worldPose: x: -1.253833,y: 283.369482,theta: -1.631640, gridPosition: x: 0, y: 0'
'worldPose: x: -1.253833,y: 283.369482,theta: -1.631640, gridPosition: x: 0, y: 0'
'worldPose: x: -1.253833,y: 283.369482,theta: -1.631640, gridPosition: x: 0, y: 0'
'worldPose: x: -1.254848,y: 283.358385,theta: -1.632369, gridPosition: x: 0, y: 0'
'worldPose: x: -1.254848,y: 283.358385,theta: -1.632369, gridPosition: x: 0, y: 0'
'worldPose: x: -1.255895,y: 283.346408,theta: -1.633977, gridPosition: x: 0, y: 0'
'worldPose: x: -1.255895,y: 283.346408,theta: -1.633977, gridPosition: x: 0, y: 0'
'worldPose: x: -1.255895,y: 283.346408,theta: -1.633977, gridPosition: x: 0, y: 0'
'worldPose: x: -1.256748,y: 283.337183,theta: -1.636003, gridPosition: x: 0, y: 0'
'worldPose: x: -1.256748,y: 283.337183,theta: -1.636003, gridPosition: x: 0, y: 0'
'worldPose: x: -1.258774,y: 283.323467,theta: -1.635459, gridPosition: x: 0, y: 0'
'worldPose: x: -1.258774,y: 283.323467,theta: -1.635459, gridPosition: x: 0, y: 0'
'worldPose: x: -1.258774,y: 283.323467,theta: -1.635459, gridPosition: x: 0, y: 0'
'worldPose: x: -1.260351,y: 283.311773,theta: -1.638004, gridPosition: x: 0, y: 0'
'worldPose: x: -1.260351,y: 283.311773,theta: -1.638004, gridPosition: x: 0, y: 0'
'worldPose: x: -1.261162,y: 283.301691,theta: -1.640175, gridPosition: x: 0, y: 0'
'worldPose: x: -1.261162,y: 283.301691,theta: -1.640175, gridPosition: x: 0, y: 0'
'worldPose: x: -1.261162,y: 283.301691,theta: -1.640175, gridPosition: x: 0, y: 0'
'worldPose: x: -1.262453,y: 283.291693,theta: -1.641967, gridPosition: x: 0, y: 0'
'worldPose: x: -1.262453,y: 283.291693,theta: -1.641967, gridPosition: x: 0, y: 0'
'worldPose: x: -1.264478,y: 283.279696,theta: -1.643178, gridPosition: x: 0, y: 0'
'worldPose: x: -1.264478,y: 283.279696,theta: -1.643178, gridPosition: x: 0, y: 0'
'worldPose: x: -1.264478,y: 283.279696,theta: -1.643178, gridPosition: x: 0, y: 0'
'worldPose: x: -1.266958,y: 283.263934,theta: -1.646841, gridPosition: x: 0, y: 0'
'worldPose: x: -1.266958,y: 283.263934,theta: -1.646841, gridPosition: x: 0, y: 0'
'worldPose: x: -1.267953,y: 283.253390,theta: -1.649107, gridPosition: x: 0, y: 0'
'worldPose: x: -1.267953,y: 283.253390,theta: -1.649107, gridPosition: x: 0, y: 0'
'worldPose: x: -1.267953,y: 283.253390,theta: -1.649107, gridPosition: x: 0, y: 0'
'worldPose: x: -1.269093,y: 283.243836,theta: -1.650643, gridPosition: x: 0, y: 0'
'worldPose: x: -1.269093,y: 283.243836,theta: -1.650643, gridPosition: x: 0, y: 0'
'worldPose: x: -1.270388,y: 283.233598,theta: -1.651719, gridPosition: x: 0, y: 0'
'worldPose: x: -1.270388,y: 283.233598,theta: -1.651719, gridPosition: x: 0, y: 0'
'worldPose: x: -1.270388,y: 283.233598,theta: -1.651719, gridPosition: x: 0, y: 0'
'worldPose: x: -1.271329,y: 283.221987,theta: -1.653431, gridPosition: x: 0, y: 0'
'worldPose: x: -1.271329,y: 283.221987,theta: -1.653431, gridPosition: x: 0, y: 0'
'worldPose: x: -1.273375,y: 283.212477,theta: -1.655628, gridPosition: x: 0, y: 0'
'worldPose: x: -1.273375,y: 283.212477,theta: -1.655628, gridPosition: x: 0, y: 0'
'worldPose: x: -1.273375,y: 283.212477,theta: -1.655628, gridPosition: x: 0, y: 0'
'worldPose: x: -1.274220,y: 283.207631,theta: -1.656135, gridPosition: x: 0, y: 0'
'worldPose: x: -1.274220,y: 283.207631,theta: -1.656135, gridPosition: x: 0, y: 0'
'worldPose: x: -1.274703,y: 283.198285,theta: -1.657454, gridPosition: x: 0, y: 0'
'worldPose: x: -1.274703,y: 283.198285,theta: -1.657454, gridPosition: x: 0, y: 0'
'worldPose: x: -1.274703,y: 283.198285,theta: -1.657454, gridPosition: x: 0, y: 0'
'worldPose: x: -1.277249,y: 283.186099,theta: -1.659007, gridPosition: x: 0, y: 0'
'worldPose: x: -1.277249,y: 283.186099,theta: -1.659007, gridPosition: x: 0, y: 0'
'worldPose: x: -1.279225,y: 283.174710,theta: -1.661680, gridPosition: x: 0, y: 0'
'worldPose: x: -1.279225,y: 283.174710,theta: -1.661680, gridPosition: x: 0, y: 0'
'worldPose: x: -1.279225,y: 283.174710,theta: -1.661680, gridPosition: x: 0, y: 0'
'worldPose: x: -1.280472,y: 283.164401,theta: -1.664355, gridPosition: x: 0, y: 0'
'worldPose: x: -1.280472,y: 283.164401,theta: -1.664355, gridPosition: x: 0, y: 0'
'worldPose: x: -1.281408,y: 283.153071,theta: -1.666202, gridPosition: x: 0, y: 0'
'worldPose: x: -1.281408,y: 283.153071,theta: -1.666202, gridPosition: x: 0, y: 0'
'worldPose: x: -1.281408,y: 283.153071,theta: -1.666202, gridPosition: x: 0, y: 0'
'worldPose: x: -1.283884,y: 283.142225,theta: -1.668610, gridPosition: x: 0, y: 0'
'worldPose: x: -1.283884,y: 283.142225,theta: -1.668610, gridPosition: x: 0, y: 0'
'worldPose: x: -1.285205,y: 283.129955,theta: -1.670901, gridPosition: x: 0, y: 0'
'worldPose: x: -1.285205,y: 283.129955,theta: -1.670901, gridPosition: x: 0, y: 0'
'worldPose: x: -1.285205,y: 283.129955,theta: -1.670901, gridPosition: x: 0, y: 0'
'worldPose: x: -1.286735,y: 283.119199,theta: -1.673053, gridPosition: x: 0, y: 0'
'worldPose: x: -1.286735,y: 283.119199,theta: -1.673053, gridPosition: x: 0, y: 0'
'worldPose: x: -1.288074,y: 283.108975,theta: -1.674501, gridPosition: x: 0, y: 0'
'worldPose: x: -1.288074,y: 283.108975,theta: -1.674501, gridPosition: x: 0, y: 0'
'worldPose: x: -1.288074,y: 283.108975,theta: -1.674501, gridPosition: x: 0, y: 0'
'worldPose: x: -1.289265,y: 283.097532,theta: -1.676018, gridPosition: x: 0, y: 0'
'worldPose: x: -1.289265,y: 283.097532,theta: -1.676018, gridPosition: x: 0, y: 0'
'worldPose: x: -1.291639,y: 283.086117,theta: -1.677898, gridPosition: x: 0, y: 0'
'worldPose: x: -1.291639,y: 283.086117,theta: -1.677898, gridPosition: x: 0, y: 0'
'worldPose: x: -1.291639,y: 283.086117,theta: -1.677898, gridPosition: x: 0, y: 0'
'worldPose: x: -1.293498,y: 283.076375,theta: -1.680025, gridPosition: x: 0, y: 0'
'worldPose: x: -1.293498,y: 283.076375,theta: -1.680025, gridPosition: x: 0, y: 0'
'worldPose: x: -1.295159,y: 283.065059,theta: -1.682587, gridPosition: x: 0, y: 0'
'worldPose: x: -1.295159,y: 283.065059,theta: -1.682587, gridPosition: x: 0, y: 0'
'worldPose: x: -1.295159,y: 283.065059,theta: -1.682587, gridPosition: x: 0, y: 0'
'worldPose: x: -1.295513,y: 283.054713,theta: -1.684477, gridPosition: x: 0, y: 0'
'worldPose: x: -1.295513,y: 283.054713,theta: -1.684477, gridPosition: x: 0, y: 0'
'worldPose: x: -1.297754,y: 283.043821,theta: -1.685385, gridPosition: x: 0, y: 0'
'worldPose: x: -1.297754,y: 283.043821,theta: -1.685385, gridPosition: x: 0, y: 0'
'worldPose: x: -1.297754,y: 283.043821,theta: -1.685385, gridPosition: x: 0, y: 0'
'worldPose: x: -1.300412,y: 283.032263,theta: -1.688001, gridPosition: x: 0, y: 0'
'worldPose: x: -1.300412,y: 283.032263,theta: -1.688001, gridPosition: x: 0, y: 0'
'worldPose: x: -1.301508,y: 283.022620,theta: -1.690519, gridPosition: x: 0, y: 0'
'worldPose: x: -1.301508,y: 283.022620,theta: -1.690519, gridPosition: x: 0, y: 0'
'worldPose: x: -1.301508,y: 283.022620,theta: -1.690519, gridPosition: x: 0, y: 0'
'worldPose: x: -1.304827,y: 283.004620,theta: -1.692862, gridPosition: x: 0, y: 0'
'worldPose: x: -1.304827,y: 283.004620,theta: -1.692862, gridPosition: x: 0, y: 0'
'worldPose: x: -1.306626,y: 282.992890,theta: -1.693773, gridPosition: x: 0, y: 0'
'worldPose: x: -1.306626,y: 282.992890,theta: -1.693773, gridPosition: x: 0, y: 0'
'worldPose: x: -1.306626,y: 282.992890,theta: -1.693773, gridPosition: x: 0, y: 0'
'worldPose: x: -1.308590,y: 282.981019,theta: -1.696647, gridPosition: x: 0, y: 0'
'worldPose: x: -1.308590,y: 282.981019,theta: -1.696647, gridPosition: x: 0, y: 0'
'worldPose: x: -1.309555,y: 282.971297,theta: -1.699086, gridPosition: x: 0, y: 0'
'worldPose: x: -1.309555,y: 282.971297,theta: -1.699086, gridPosition: x: 0, y: 0'
'worldPose: x: -1.309555,y: 282.971297,theta: -1.699086, gridPosition: x: 0, y: 0'
'worldPose: x: -1.310371,y: 282.960645,theta: -1.700954, gridPosition: x: 0, y: 0'
'worldPose: x: -1.310371,y: 282.960645,theta: -1.700954, gridPosition: x: 0, y: 0'
'worldPose: x: -1.314038,y: 282.946940,theta: -1.702009, gridPosition: x: 0, y: 0'
'worldPose: x: -1.314038,y: 282.946940,theta: -1.702009, gridPosition: x: 0, y: 0'
'worldPose: x: -1.314038,y: 282.946940,theta: -1.702009, gridPosition: x: 0, y: 0'
