'worldPose: x: 11.236876,y: 1.209743,theta: 3.115304, gridPosition: x: 0, y: 0'
'worldPose: x: 11.231672,y: 1.209879,theta: 3.115745, gridPosition: x: 0, y: 0'
'worldPose: x: 11.226465,y: 1.210012,theta: 3.116326, gridPosition: x: 0, y: 0'
'worldPose: x: 11.221254,y: 1.210142,theta: 3.116909, gridPosition: x: 0, y: 0'
'worldPose: x: 11.216045,y: 1.210269,theta: 3.117374, gridPosition: x: 0, y: 0'
'worldPose: x: 11.210847,y: 1.210393,theta: 3.117991, gridPosition: x: 0, y: 0'
'worldPose: x: 11.205635,y: 1.210514,theta: 3.118927, gridPosition: x: 0, y: 0'
'worldPose: x: 11.200427,y: 1.210628,theta: 3.120063, gridPosition: x: 0, y: 0'
'worldPose: x: 11.195207,y: 1.210738,theta: 3.120844, gridPosition: x: 0, y: 0'
'worldPose: x: 11.190015,y: 1.210845,theta: 3.120905, gridPosition: x: 0, y: 0'
'worldPose: x: 11.184810,y: 1.210954,theta: 3.120573, gridPosition: x: 0, y: 0'
'worldPose: x: 11.179601,y: 1.211065,theta: 3.120121, gridPosition: x: 0, y: 0'
'worldPose: x: 11.174389,y: 1.211178,theta: 3.119850, gridPosition: x: 0, y: 0'
'worldPose: x: 11.169186,y: 1.211291,theta: 3.120111, gridPosition: x: 0, y: 0'
'worldPose: x: 11.163979,y: 1.211400,theta: 3.120907, gridPosition: x: 0, y: 0'
'worldPose: x: 11.158770,y: 1.211506,theta: 3.121558, gridPosition: x: 0, y: 0'
'worldPose: x: 11.153567,y: 1.211610,theta: 3.121485, gridPosition: x: 0, y: 0'
'worldPose: x: 11.148363,y: 1.211717,theta: 3.120847, gridPosition: x: 0, y: 0'
'worldPose: x: 11.143151,y: 1.211827,theta: 3.120109, gridPosition: x: 0, y: 0'
'worldPose: x: 11.137949,y: 1.211940,theta: 3.119729, gridPosition: x: 0, y: 0'
'worldPose: x: 11.132735,y: 1.212055,theta: 3.119741, gridPosition: x: 0, y: 0'
'worldPose: x: 11.127530,y: 1.212167,theta: 3.120230, gridPosition: x: 0, y: 0'
'worldPose: x: 11.122321,y: 1.212276,theta: 3.120999, gridPosition: x: 0, y: 0'
'worldPose: x: 11.117115,y: 1.212381,theta: 3.121537, gridPosition: x: 0, y: 0'
'worldPose: x: 11.111885,y: 1.212486,theta: 3.121373, gridPosition: x: 0, y: 0'
'worldPose: x: 11.106698,y: 1.212592,theta: 3.120806, gridPosition: x: 0, y: 0'
'worldPose: x: 11.101488,y: 1.212702,theta: 3.120367, gridPosition: x: 0, y: 0'
'worldPose: x: 11.096288,y: 1.212812,theta: 3.120255, gridPosition: x: 0, y: 0'
