'worldPose: x: 105.905942,y: 59.774202,theta: 1.557701, gridPosition: x: 0, y: 0'
'worldPose: x: 105.906298,y: 59.800236,theta: 1.556726, gridPosition: x: 0, y: 0'
'worldPose: x: 105.906682,y: 59.826481,theta: 1.555802, gridPosition: x: 0, y: 0'
'worldPose: x: 105.907080,y: 59.852325,theta: 1.555209, gridPosition: x: 0, y: 0'
'worldPose: x: 105.907496,y: 59.878361,theta: 1.554449, gridPosition: x: 0, y: 0'
'worldPose: x: 105.894550,y: 59.904629,theta: 1.553526, gridPosition: x: 0, y: 0'
'worldPose: x: 105.893466,y: 59.930771,theta: 1.552268, gridPosition: x: 0, y: 0'
'worldPose: x: 105.893961,y: 59.956749,theta: 1.551474, gridPosition: x: 0, y: 0'
'worldPose: x: 105.894478,y: 59.982757,theta: 1.550613, gridPosition: x: 0, y: 0'
'worldPose: x: 105.895045,y: 60.009915,theta: 1.549363, gridPosition: x: 0, y: 0'
'worldPose: x: 105.895603,y: 60.034831,theta: 1.547785, gridPosition: x: 0, y: 0'
'worldPose: x: 105.896223,y: 60.060892,theta: 1.546621, gridPosition: x: 0, y: 0'
'worldPose: x: 105.896862,y: 60.086898,theta: 1.546013, gridPosition: x: 0, y: 0'
'worldPose: x: 105.897511,y: 60.112942,theta: 1.545747, gridPosition: x: 0, y: 0'
'worldPose: x: 105.875027,y: 60.140977,theta: 1.545164, gridPosition: x: 0, y: 0'
'worldPose: x: 105.875707,y: 60.167035,theta: 1.544499, gridPosition: x: 0, y: 0'
'worldPose: x: 105.876412,y: 60.193013,theta: 1.543246, gridPosition: x: 0, y: 0'
'worldPose: x: 105.877144,y: 60.219035,theta: 1.542399, gridPosition: x: 0, y: 0'
'worldPose: x: 105.877896,y: 60.245100,theta: 1.541668, gridPosition: x: 0, y: 0'
'worldPose: x: 105.878671,y: 60.271105,theta: 1.540494, gridPosition: x: 0, y: 0'
'worldPose: x: 105.879483,y: 60.297152,theta: 1.539062, gridPosition: x: 0, y: 0'
'worldPose: x: 105.887722,y: 60.326433,theta: 1.537751, gridPosition: x: 0, y: 0'
'worldPose: x: 105.889384,y: 60.352827,theta: 1.536584, gridPosition: x: 0, y: 0'
'worldPose: x: 105.890304,y: 60.379243,theta: 1.535702, gridPosition: x: 0, y: 0'
'worldPose: x: 105.891212,y: 60.404884,theta: 1.535253, gridPosition: x: 0, y: 0'
'worldPose: x: 105.892172,y: 60.431666,theta: 1.534660, gridPosition: x: 0, y: 0'
'worldPose: x: 105.893110,y: 60.456922,theta: 1.532958, gridPosition: x: 0, y: 0'
'worldPose: x: 105.894126,y: 60.482991,theta: 1.531257, gridPosition: x: 0, y: 0'
'worldPose: x: 105.895130,y: 60.509350,theta: 1.532970, gridPosition: x: 0, y: 0'
'worldPose: x: 105.896123,y: 60.535343,theta: 1.532346, gridPosition: x: 0, y: 0'
'worldPose: x: 105.893894,y: 60.568898,theta: 1.527795, gridPosition: x: 0, y: 0'
'worldPose: x: 105.895048,y: 60.595131,theta: 1.526231, gridPosition: x: 0, y: 0'
'worldPose: x: 105.896218,y: 60.620938,theta: 1.524992, gridPosition: x: 0, y: 0'
'worldPose: x: 105.897426,y: 60.646938,theta: 1.524084, gridPosition: x: 0, y: 0'
'worldPose: x: 105.898655,y: 60.672951,theta: 1.523214, gridPosition: x: 0, y: 0'
'worldPose: x: 105.899913,y: 60.698954,theta: 1.521868, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901210,y: 60.724961,theta: 1.520440, gridPosition: x: 0, y: 0'
'worldPose: x: 105.902539,y: 60.751135,theta: 1.519937, gridPosition: x: 0, y: 0'
'worldPose: x: 105.903852,y: 60.776969,theta: 1.520059, gridPosition: x: 0, y: 0'
'worldPose: x: 105.905183,y: 60.802990,theta: 1.519313, gridPosition: x: 0, y: 0'
'worldPose: x: 105.906545,y: 60.828956,theta: 1.517571, gridPosition: x: 0, y: 0'
'worldPose: x: 105.908070,y: 60.856918,theta: 1.515681, gridPosition: x: 0, y: 0'
'worldPose: x: 105.909522,y: 60.883114,theta: 1.515483, gridPosition: x: 0, y: 0'
'worldPose: x: 105.910955,y: 60.909090,theta: 1.515714, gridPosition: x: 0, y: 0'
'worldPose: x: 105.912399,y: 60.935097,theta: 1.514932, gridPosition: x: 0, y: 0'
'worldPose: x: 105.913878,y: 60.961119,theta: 1.513345, gridPosition: x: 0, y: 0'
'worldPose: x: 105.915400,y: 60.987088,theta: 1.511630, gridPosition: x: 0, y: 0'
'worldPose: x: 105.916969,y: 61.013337,theta: 1.510842, gridPosition: x: 0, y: 0'
'worldPose: x: 105.918523,y: 61.039080,theta: 1.510195, gridPosition: x: 0, y: 0'
'worldPose: x: 105.920125,y: 61.065155,theta: 1.508828, gridPosition: x: 0, y: 0'
'worldPose: x: 105.921751,y: 61.091054,theta: 1.507813, gridPosition: x: 0, y: 0'
'worldPose: x: 105.923398,y: 61.117117,theta: 1.507568, gridPosition: x: 0, y: 0'
'worldPose: x: 105.925048,y: 61.143039,theta: 1.506947, gridPosition: x: 0, y: 0'
'worldPose: x: 105.926720,y: 61.169035,theta: 1.506470, gridPosition: x: 0, y: 0'
'worldPose: x: 105.928383,y: 61.195020,theta: 1.507320, gridPosition: x: 0, y: 0'
'worldPose: x: 105.930006,y: 61.221002,theta: 1.509189, gridPosition: x: 0, y: 0'
'worldPose: x: 105.931576,y: 61.246992,theta: 1.511383, gridPosition: x: 0, y: 0'
'worldPose: x: 105.932530,y: 61.263324,theta: 1.512999, gridPosition: x: 0, y: 0'
'worldPose: x: 105.934489,y: 61.298975,theta: 1.517011, gridPosition: x: 0, y: 0'
'worldPose: x: 105.935591,y: 61.319820,theta: 1.518504, gridPosition: x: 0, y: 0'
'worldPose: x: 105.937212,y: 61.351167,theta: 1.519325, gridPosition: x: 0, y: 0'
'worldPose: x: 105.938548,y: 61.377018,theta: 1.519073, gridPosition: x: 0, y: 0'
'worldPose: x: 105.939898,y: 61.403034,theta: 1.518948, gridPosition: x: 0, y: 0'
'worldPose: x: 105.941233,y: 61.429062,theta: 1.520187, gridPosition: x: 0, y: 0'
'worldPose: x: 105.942513,y: 61.455054,theta: 1.522418, gridPosition: x: 0, y: 0'
'worldPose: x: 105.912629,y: 61.479487,theta: 1.522473, gridPosition: x: 0, y: 0'
'worldPose: x: 105.909368,y: 61.505275,theta: 1.523292, gridPosition: x: 0, y: 0'
'worldPose: x: 105.910341,y: 61.526034,theta: 1.524482, gridPosition: x: 0, y: 0'
'worldPose: x: 105.911753,y: 61.557286,theta: 1.526298, gridPosition: x: 0, y: 0'
'worldPose: x: 105.912897,y: 61.583286,theta: 1.526994, gridPosition: x: 0, y: 0'
'worldPose: x: 105.893660,y: 61.654264,theta: 1.530934, gridPosition: x: 0, y: 0'
'worldPose: x: 105.894686,y: 61.680370,theta: 1.531983, gridPosition: x: 0, y: 0'
'worldPose: x: 105.895669,y: 61.706361,theta: 1.533498, gridPosition: x: 0, y: 0'
'worldPose: x: 105.896583,y: 61.732357,theta: 1.536797, gridPosition: x: 0, y: 0'
'worldPose: x: 105.907269,y: 61.754659,theta: 1.538868, gridPosition: x: 0, y: 0'
'worldPose: x: 105.908084,y: 61.780680,theta: 1.539754, gridPosition: x: 0, y: 0'
'worldPose: x: 105.908881,y: 61.806719,theta: 1.540521, gridPosition: x: 0, y: 0'
'worldPose: x: 105.909650,y: 61.832730,theta: 1.541859, gridPosition: x: 0, y: 0'
'worldPose: x: 105.898009,y: 61.866410,theta: 1.543614, gridPosition: x: 0, y: 0'
